티커,계약수,금액,비중
005930,4279.0,819856400,27.86
000660,515.0,484615000,16.46
005380,148.0,81104000,2.83
373220,169.0,62783500,2.21
012450,37.0,51097000,1.9
207940,33.0,54351000,1.88
402340,95.0,53770000,1.82
000270,282.0,46924800,1.63
034020,463.0,41901500,1.57
329180,76.0,42484000,1.46
105560,270.0,40230000,1.38
068270,167.0,35320500,1.23
028260,123.0,36039000,1.21
055550,343.0,31864700,1.09
032830,145.0,31030000,1.05
012330,66.0,28512000,1.01
042660,221.0,26984100,0.97
006800,410.0,26732000,0.95
010130,15.0,26385000,0.91
267260,26.0,25584000,0.87
035420,113.0,24860000,0.87
006400,58.0,22765000,0.82
042700,69.0,21735000,0.8
015760,464.0,22364800,0.78
086790,201.0,22351200,0.77
009150,54.0,21681000,0.76
272210,137.0,20659600,0.75
005490,59.0,20443500,0.72
009540,51.0,20757000,0.71
034730,52.0,18694000,0.64
064350,79.0,17814500,0.64
010140,636.0,17299200,0.61
316140,531.0,17921250,0.61
298040,7.0,17388000,0.6
035720,320.0,16384000,0.59
051910,51.0,16549500,0.58
000810,33.0,16219500,0.57
267250,57.0,15675000,0.55
010120,22.0,15422000,0.54
096770,122.0,15433000,0.53
138040,127.0,14706600,0.5
011200,682.0,14492500,0.5
066570,118.0,13617200,0.48
003670,64.0,13312000,0.48
024110,576.0,13708800,0.47
079550,16.0,12208000,0.46
033780,85.0,13311000,0.45
086280,54.0,13311000,0.45
047810,70.0,12530000,0.44
000150,12.0,12876000,0.44
000720,80.0,11520000,0.43
017670,155.0,12074500,0.41
352820,31.0,10633000,0.38
030200,182.0,10519600,0.37
010950,81.0,10910700,0.36
003550,111.0,10744800,0.36
005830,50.0,9530000,0.33
047050,127.0,8382000,0.32
071050,40.0,9220000,0.32
018260,56.0,9346400,0.32
039490,20.0,8820000,0.3
323410,345.0,8297250,0.29
005940,258.0,8268900,0.29
278470,27.0,7641000,0.29
307950,20.0,8050000,0.28
259960,34.0,7480000,0.27
000880,54.0,6895800,0.25
003490,266.0,6517000,0.23
009830,124.0,5505600,0.22
016360,65.0,6188000,0.22
007660,53.0,6126800,0.21
377300,98.0,5811400,0.21
180640,48.0,5817600,0.21
326030,57.0,6076200,0.2
000100,58.0,5730400,0.2
006260,23.0,5738500,0.2
090430,42.0,5468400,0.19
443060,32.0,5539200,0.19
161390,90.0,5553000,0.18
003230,5.0,5300000,0.18
029780,84.0,4998000,0.17
028050,142.0,4707300,0.16
032640,311.0,4668110,0.16
064400,70.0,4389000,0.16
078930,67.0,4462200,0.15
034220,361.0,4198430,0.15
454910,47.0,4258200,0.15
138930,224.0,4211200,0.14
241560,69.0,3946800,0.14
175330,137.0,4007250,0.14
088980,346.0,3930560,0.14
021240,52.0,3874000,0.14
001040,21.0,3864000,0.13
004020,96.0,3436800,0.13
271560,29.0,3598900,0.13
036570,16.0,3272000,0.12
251270,62.0,3007000,0.12
035250,155.0,2763650,0.1
051900,11.0,2590500,0.09
010010,0.0,0,0.8
