티커,계약수,금액,비중
A67630,-0.04,-4466000,0.0
A65630,0.09,9457200,0.0
138931,0.0,293255,0.0
000124,0.0,295029,0.0
105564,0.0,293255,0.0
105562,0.0,293917,0.0
105562,0.0,293255,0.0
003451,0.0,293255,0.0
003452,0.0,293255,0.0
033782,0.0,295091,0.0
030203,0.0,108504,0.0
030203,0.0,1175435,0.0
373224,0.0,894191,0.0
373221,0.0,1174183,0.0
032642,0.0,297099,0.0
032642,0.0,296452,0.0
011072,0.0,296716,0.0
051914,0.0,501466,0.0
051911,0.0,146627,0.0
166263,0.0,150865,0.0
166262,0.0,293587,0.0
421093,0.0,433563,0.0
421092,0.0,293255,0.0
010951,0.0,293255,0.0
034122,0.0,294207,0.0
034733,0.0,293255,0.0
034733,0.0,234604,0.0
034733,0.0,169027,0.0
034734,0.0,156928,0.0
034732,0.0,59035,0.0
034731,0.0,58990,0.0
034732,0.0,117753,0.0
034732,0.0,208211,0.0
018672,0.0,425219,0.0
018673,0.0,293255,0.0
001743,0.0,293255,0.0
138093,0.0,293255,0.0
096772,0.0,193476,0.0
096773,0.0,150252,0.0
138101,0.0,148034,0.0
017673,0.0,166983,0.0
017673,0.0,49853,0.0
017672,0.0,131964,0.0
53602G,0.0,293255,0.0
53601D,0.0,9484,0.0
044022,0.0,312457,0.0
044022,0.0,31150,0.0
077012,0.0,29325,0.0
005041,0.0,131964,0.0
527027,0.0,300024,0.0
52701G,0.0,146627,0.0
52701G,0.0,294476,0.0
52703G,0.0,298413,0.0
03502G,0.0,294134,0.0
03501G,0.0,185854,0.0
03502G,0.0,151466,0.0
03502G,0.0,128739,0.0
03502G,0.0,706747,0.0
03502G,0.0,574780,0.0
03502G,0.0,558064,0.0
03502G,0.0,164809,0.0
03502G,0.0,1470381,0.0
03501G,0.0,58880,0.0
03502G,0.0,329295,0.0
03502G,0.0,149560,0.0
03503G,0.0,120234,0.0
03502G,0.0,5707038,0.0
03502G,0.0,251759,0.0
03502G,0.0,2234897,0.0
03503G,0.0,29325,0.0
03502G,0.0,251319,0.0
03501G,0.0,87976,0.0
03502G,0.0,1788856,0.0
03501G,0.0,64981,0.0
03502G,0.0,2932,0.0
03502G,0.0,58651,0.0
03502G,0.0,806158,0.0
03502G,0.0,1258064,0.0
03503G,0.0,4134897,0.0
03502G,0.0,885630,0.0
03502G,0.0,49853,0.0
03503G,0.0,469208,0.0
03502G,0.0,14076,0.0
03502G,0.0,1505865,0.0
03502G,0.0,58651,0.0
03502G,0.0,2560117,0.0
03504G,0.0,73313,0.0
03502G,0.0,1134897,0.0
03505G,0.0,29325,0.0
