티커,계약수,금액,비중
005930,8979.0,1720376400,0.0
292190,41480.0,1597809600,0.0
000660,1053.0,990873000,0.0
005380,260.0,142480000,0.0
402340,176.0,99616000,0.0
012450,63.0,87003000,0.0
105560,609.0,90741000,0.0
034020,824.0,74572000,0.0
000270,465.0,77376000,0.0
055550,783.0,72740700,0.0
068270,297.0,62815500,0.0
035420,263.0,57860000,0.0
028260,192.0,56256000,0.0
086790,482.0,53598400,0.0
012330,119.0,51408000,0.0
006400,116.0,45530000,0.0
005490,132.0,45738000,0.0
009150,107.0,42960500,0.0
267260,44.0,43296000,0.0
316140,1283.0,43301250,0.0
009540,90.0,36630000,0.0
373220,95.0,35292500,0.0
006800,522.0,34034400,0.0
010140,1268.0,34489600,0.0
329180,63.0,35217000,0.0
035720,647.0,33126400,0.0
032830,162.0,34668000,0.0
207940,20.0,32940000,0.0
064350,141.0,31795500,0.0
042660,254.0,31013400,0.0
086520,188.0,30230400,0.0
015760,605.0,29161000,0.0
000810,59.0,28998500,0.0
196170,78.0,29016000,0.0
051910,89.0,28880500,0.0
042700,81.0,25515000,0.0
033780,173.0,27091800,0.0
010130,15.0,26385000,0.0
030200,422.0,24391600,0.0
047810,135.0,24165000,0.0
066570,207.0,23887800,0.0
034730,68.0,24446000,0.0
267250,87.0,23925000,0.0
298040,9.0,22356000,0.0
000720,141.0,20304000,0.0
017670,285.0,22201500,0.0
079550,26.0,19838000,0.0
010120,30.0,21030000,0.0
247540,104.0,20321600,0.0
000250,27.0,21492000,0.0
071050,78.0,17979000,0.0
096770,143.0,18089500,0.0
086280,71.0,17501500,0.0
138040,149.0,17254200,0.0
272210,107.0,16135600,0.0
003550,174.0,16843200,0.0
323410,651.0,15656550,0.0
005830,83.0,15819800,0.0
003670,69.0,14352000,0.0
298380,78.0,13813800,0.0
352820,42.0,14406000,0.0
000150,14.0,15022000,0.0
278470,47.0,13301000,0.0
259960,56.0,12320000,0.0
011200,597.0,12686250,0.0
277810,15.0,12555000,0.0
024110,521.0,12399800,0.0
018260,74.0,12350600,0.0
058470,95.0,11533000,0.0
007660,105.0,12138000,0.0
003490,488.0,11956000,0.0
039490,27.0,11907000,0.0
028300,225.0,11385000,0.0
000100,114.0,11263200,0.0
016360,117.0,11138400,0.0
180640,90.0,10908000,0.0
009830,209.0,9279600,0.0
087010,41.0,10680500,0.0
010950,80.0,10776000,0.0
028050,302.0,10011300,0.0
141080,50.0,9500000,0.0
005940,281.0,9006050,0.0
138930,489.0,9193200,0.0
175330,303.0,8862750,0.0
240810,63.0,8366400,0.0
003230,8.0,8480000,0.0
006260,33.0,8233500,0.0
161390,138.0,8514600,0.0
032640,528.0,7925280,0.0
090430,60.0,7812000,0.0
021240,105.0,7822500,0.0
039030,17.0,7582000,0.0
011070,27.0,7114500,0.0
036570,33.0,6748500,0.0
000880,53.0,6768100,0.0
310210,21.0,6646500,0.0
267270,54.0,6836400,0.0
034220,557.0,6477910,0.0
226950,32.0,6281600,0.0
047050,89.0,5874000,0.0
001440,215.0,6267250,0.0
004020,162.0,5799600,0.0
066970,54.0,5778000,0.0
128940,12.0,6228000,0.0
0126Z0,11.0,6171000,0.0
064400,92.0,5768400,0.0
241560,99.0,5662800,0.0
489790,66.0,5167800,0.0
078930,86.0,5727600,0.0
052690,36.0,5263200,0.0
347850,66.0,5425200,0.0
326030,53.0,5649800,0.0
271560,42.0,5212200,0.0
000990,59.0,5605000,0.0
014680,17.0,4989500,0.0
108490,21.0,4935000,0.0
140410,42.0,5401200,0.0
082740,104.0,4971200,0.0
001040,27.0,4968000,0.0
307950,12.0,4830000,0.0
443060,29.0,5019900,0.0
012510,41.0,4858500,0.0
214450,14.0,4438000,0.0
139130,266.0,4588500,0.0
051900,18.0,4239000,0.0
017800,50.0,4300000,0.0
403870,90.0,4045500,0.0
002380,8.0,4312000,0.0
