티커,계약수,금액,비중
278470,395.0,111785000,5.16
039490,233.0,102753000,4.33
007660,881.0,101843600,4.31
138930,4128.0,77606400,3.24
175330,2534.0,74119500,3.18
006260,273.0,68113500,2.9
000880,450.0,57465000,2.55
001440,1815.0,52907250,2.34
066970,451.0,48257000,2.28
064400,770.0,48279000,2.13
052690,304.0,44444800,2.02
014680,143.0,41970500,1.89
082740,880.0,42064000,1.82
307950,102.0,41055000,1.78
001040,222.0,40848000,1.74
139130,2241.0,38657250,1.63
002380,68.0,36652000,1.56
017800,412.0,35432000,1.53
457190,328.0,31816000,1.47
004170,103.0,34762500,1.47
111770,352.0,32630400,1.45
103140,273.0,32323200,1.41
012750,394.0,32780800,1.41
010060,215.0,28229500,1.39
062040,218.0,31283000,1.37
009420,576.0,32313600,1.36
001450,972.0,29840400,1.28
139480,322.0,29430800,1.27
047040,3236.0,27635440,1.21
204320,526.0,28351400,1.21
071970,358.0,28317800,1.2
088350,5353.0,25052040,1.13
081660,491.0,23617100,1.02
011210,251.0,22841000,0.98
030000,1120.0,22848000,0.97
192820,133.0,22224300,0.96
375500,477.0,21274200,0.93
017960,522.0,20070900,0.93
000120,178.0,20327600,0.91
008770,497.0,21296450,0.89
006360,1041.0,20351550,0.88
112610,390.0,18135000,0.87
051600,358.0,19546800,0.84
009970,85.0,19295000,0.84
004370,49.0,19453000,0.82
161890,276.0,19099200,0.82
028670,3642.0,20613720,0.82
120110,295.0,18113000,0.79
008930,455.0,17449250,0.76
069960,198.0,18117000,0.76
005850,256.0,16896000,0.74
018880,3995.0,15820200,0.71
023530,165.0,15840000,0.68
073240,2563.0,15480520,0.65
282330,126.0,14527800,0.62
361610,610.0,13847000,0.61
383220,224.0,14224000,0.6
298020,41.0,13755500,0.57
006280,87.0,13015200,0.56
026960,501.0,12750450,0.54
069620,73.0,12118000,0.53
001430,198.0,12078000,0.52
034230,704.0,12031360,0.51
002790,412.0,11124000,0.48
185750,128.0,10880000,0.47
004000,234.0,10436400,0.45
007070,542.0,10276320,0.43
000240,385.0,9933000,0.43
285130,157.0,9325800,0.4
007310,23.0,8567500,0.36
192080,168.0,8274000,0.36
007340,332.0,8134000,0.36
298050,39.0,8151000,0.35
000080,501.0,8371710,0.35
004490,128.0,7961600,0.34
001800,335.0,7688250,0.33
000210,173.0,7317900,0.32
003090,311.0,7199650,0.31
005300,57.0,7142100,0.3
006650,56.0,7470400,0.3
093370,887.0,6262220,0.28
001680,309.0,6442650,0.27
005420,411.0,5844420,0.27
006040,158.0,6162000,0.26
069260,351.0,6328530,0.26
114090,492.0,6351720,0.26
300720,346.0,5695160,0.25
009240,134.0,5755300,0.25
005250,359.0,5144470,0.22
003240,4.0,4816000,0.21
280360,41.0,4760100,0.2
000670,79.0,4384500,0.19
137310,573.0,4452210,0.19
008730,169.0,4005300,0.18
002030,13.0,3692000,0.16
071320,41.0,3579300,0.15
003030,22.0,2772000,0.12
002840,18.0,2509200,0.11
014820,89.0,2171600,0.09
268280,11.0,1414600,0.06
010010,0.0,0,1.08
