티커,계약수,금액,비중
000270,635.0,105664000,9.22
032830,484.0,103576000,8.83
316140,2755.0,92981250,7.91
068270,428.0,90522000,7.91
081660,1763.0,84800300,7.43
000810,150.0,73725000,6.47
016360,756.0,71971200,6.3
005940,1796.0,57561800,5.03
138930,2958.0,55610400,4.74
175330,1548.0,45279000,3.96
001720,233.0,43967100,3.93
035250,2130.0,37977900,3.35
001120,921.0,36609750,3.16
003690,2036.0,26691960,2.26
021240,338.0,25181000,2.21
032640,1308.0,19633080,1.72
086280,71.0,17501500,1.5
003540,369.0,14723100,1.28
120110,233.0,14306200,1.27
047050,190.0,12540000,1.21
030000,638.0,13015200,1.12
103140,102.0,12076800,1.07
078930,179.0,11921400,1.02
029780,193.0,11483500,0.99
005180,141.0,10913400,0.94
051600,191.0,10428600,0.92
033500,418.0,11223300,0.9
108320,195.0,10062000,0.89
086900,82.0,9897400,0.88
097950,49.0,9657900,0.83
010010,0.0,0,0.74
