티커,계약수,금액,비중
352820,104.0,35672000,8.26
000660,35.0,32935000,7.27
005930,161.0,30847600,6.82
009150,74.0,29711000,6.73
251270,528.0,25608000,6.41
122870,396.0,25423200,6.19
263750,455.0,24979500,6.02
041510,234.0,23072400,5.51
035420,104.0,22880000,5.21
095660,666.0,15984000,4.16
035900,283.0,17432800,4.15
204610,6866.0,16100770,3.67
181710,414.0,14593500,3.41
259960,67.0,14740000,3.41
035760,213.0,13738500,3.16
192080,257.0,12657250,2.89
253450,237.0,9219300,2.18
376300,260.0,8892000,2.18
036570,39.0,7975500,1.88
035720,137.0,7014400,1.65
042000,243.0,6864750,1.57
112040,295.0,6696500,1.55
194480,162.0,6390900,1.45
030000,213.0,4345200,0.97
462870,73.0,2204600,0.52
182360,202.0,2211900,0.52
078340,67.0,2133950,0.5
419530,52.0,1638000,0.39
085670,218.0,1129240,0.25
010010,0.0,0,1.12
