티커,계약수,금액,비중
058470,380.0,46132000,9.19
240810,252.0,33465600,6.61
039030,64.0,28544000,5.52
108490,81.0,19035000,3.86
032820,1177.0,19514660,3.86
403870,359.0,16137050,3.27
095340,78.0,15756000,3.14
036930,243.0,16232400,3.1
084370,106.0,15359400,2.99
089030,205.0,13591500,2.77
067310,367.0,12845000,2.53
098460,395.0,12087000,2.49
323280,164.0,12218000,2.4
064760,45.0,11025000,2.23
101490,124.0,11457600,2.21
178320,238.0,11055100,2.11
319660,151.0,9860300,2.05
222800,188.0,9400000,2.04
080220,233.0,10426750,2.04
082270,244.0,9528200,2.02
140860,34.0,9078000,1.81
078600,78.0,7519200,1.76
466100,150.0,9030000,1.76
218410,126.0,8467200,1.71
189300,61.0,7368800,1.44
095610,91.0,6542900,1.34
232140,302.0,6221200,1.27
031980,55.0,6000500,1.23
131970,90.0,5553000,1.18
161580,129.0,5895300,1.17
166090,80.0,5288000,1.04
183300,46.0,4724200,0.95
348210,58.0,4634200,0.94
074600,121.0,3714700,0.85
036540,568.0,4010080,0.81
036810,107.0,3985750,0.8
052400,64.0,3929600,0.78
042000,143.0,4039750,0.78
171090,32.0,3888000,0.77
032500,217.0,3732400,0.75
131290,37.0,3518700,0.75
213420,99.0,3702600,0.74
025320,615.0,3585450,0.69
214430,33.0,3243900,0.65
272290,95.0,2968750,0.64
050890,406.0,3199280,0.64
053800,50.0,3065000,0.6
046890,291.0,2860530,0.57
059090,197.0,2763910,0.57
399720,46.0,2783000,0.56
204270,146.0,2731660,0.54
253590,151.0,2388820,0.53
079370,140.0,2465400,0.49
030520,117.0,2363400,0.45
179900,99.0,2138400,0.39
058970,55.0,1955250,0.38
304100,84.0,1856400,0.35
108860,178.0,1808480,0.35
010010,0.0,0,0.57
