티커,계약수,금액,비중
352820,129.0,44247000,11.4
036570,197.0,40286500,10.58
034220,3043.0,35390090,9.11
259960,157.0,34540000,8.88
011070,129.0,33991500,8.72
035420,156.0,34320000,8.69
263750,473.0,25967700,6.96
251270,449.0,21776500,6.07
035900,360.0,22176000,5.88
041510,184.0,18142400,4.82
462870,442.0,13348400,3.49
122870,191.0,12262200,3.32
108320,138.0,7120800,1.82
213420,176.0,6582400,1.72
293490,494.0,6392360,1.65
064260,790.0,5988200,1.52
376300,159.0,5437800,1.48
272290,158.0,4937500,1.4
171090,44.0,5346000,1.4
063170,158.0,1273480,0.33
010010,0.0,0,0.76
