티커,계약수,금액,비중
000150,84.0,90132000,8.78
267250,312.0,85800000,8.67
034730,238.0,85561000,8.5
003550,846.0,81892800,7.92
180640,633.0,76719600,7.8
005490,212.0,73458000,7.46
028260,244.0,71492000,6.89
006260,261.0,65119500,6.47
000880,422.0,53889400,5.57
078930,679.0,45221400,4.43
489790,508.0,39776400,4.34
001040,204.0,37536000,3.73
010060,199.0,26128700,3.0
000240,766.0,19762800,1.98
009970,80.0,18160000,1.84
004800,99.0,14463900,1.44
004990,399.0,12528600,1.26
008930,302.0,11581700,1.18
002790,375.0,10125000,1.02
012630,373.0,9082550,0.89
007340,303.0,7423500,0.76
005440,522.0,7642080,0.75
000210,163.0,6894900,0.71
001800,305.0,6999750,0.69
003090,292.0,6759800,0.69
006120,117.0,6329700,0.64
002020,94.0,5329800,0.55
006040,141.0,5499000,0.54
383800,627.0,5179020,0.52
000640,48.0,5169600,0.51
010010,0.0,0,0.47
