티커,계약수,금액,비중
068270,240.0,50760000,19.34
207940,16.0,26352000,9.97
015760,487.0,23473400,9.01
033780,139.0,21767400,8.15
030200,339.0,19594200,7.58
017670,229.0,17839100,6.64
278470,38.0,10754000,4.41
000100,93.0,9188400,3.5
032640,426.0,6394260,2.44
003230,6.0,6360000,2.41
090430,48.0,6249600,2.39
128940,10.0,5190000,1.96
0126Z0,8.0,4488000,1.65
326030,42.0,4477200,1.64
271560,34.0,4219400,1.63
001040,21.0,3864000,1.46
051900,14.0,3297000,1.32
009420,55.0,3085500,1.16
139480,31.0,2833400,1.09
097950,12.0,2365200,0.89
192820,13.0,2172300,0.83
036460,57.0,2114700,0.8
004370,5.0,1985000,0.75
161890,26.0,1799200,0.69
302440,40.0,1770000,0.66
008930,43.0,1649050,0.64
004990,45.0,1413000,0.54
282330,12.0,1383600,0.52
026960,48.0,1221600,0.46
006280,8.0,1196800,0.46
069620,7.0,1162000,0.45
002790,39.0,1053000,0.4
185750,12.0,1020000,0.39
007070,52.0,985920,0.37
000080,48.0,802080,0.3
007310,2.0,745000,0.28
001800,32.0,734400,0.28
003090,30.0,694500,0.27
005300,5.0,626500,0.24
001680,29.0,604650,0.23
006040,15.0,585000,0.22
005250,34.0,487220,0.18
280360,4.0,464400,0.17
137310,55.0,427350,0.16
071320,4.0,349200,0.13
010010,0.0,0,0.94
