티커,계약수,금액,비중
009830,3312.0,147052800,13.97
010120,184.0,128984000,10.55
298040,46.0,114264000,9.28
034020,1118.0,101179000,8.92
267260,108.0,106272000,8.51
010060,592.0,77729600,7.3
062040,579.0,83086500,6.92
336260,1809.0,68832450,5.94
178320,1401.0,65076450,5.32
112610,1069.0,49708500,4.53
281740,1666.0,34319600,3.05
100090,1754.0,29782920,2.65
126340,202.0,24442000,2.21
322000,228.0,20542800,2.17
475150,856.0,20501200,1.9
059090,1089.0,15278670,1.34
044490,417.0,14407350,1.28
086390,727.0,14249200,1.23
018000,9334.0,10332738,0.9
388050,551.0,5675300,0.48
382900,186.0,5142900,0.45
297090,518.0,3227140,0.29
389260,195.0,3038100,0.28
100130,1242.0,2395818,0.21
010010,0.0,0,0.29
