티커,계약수,금액,비중
005930,1321.0,253103600,32.32
012450,53.0,73193000,10.2
000660,53.0,49873000,6.37
035420,132.0,29040000,3.82
005380,53.0,29044000,3.81
000810,53.0,26049500,3.42
000100,264.0,26083200,3.41
012330,53.0,22896000,3.06
006400,53.0,20802500,2.83
009150,53.0,21279500,2.79
009540,53.0,21571000,2.77
017670,264.0,20565600,2.63
373220,53.0,19689500,2.6
005490,53.0,18364500,2.44
051910,53.0,17198500,2.25
028260,53.0,15529000,1.95
035720,264.0,13516800,1.84
068270,53.0,11209500,1.46
032830,53.0,11342000,1.45
000270,53.0,8819200,1.15
000720,53.0,7632000,1.08
105560,53.0,7897000,1.02
090430,53.0,6900600,0.91
096770,53.0,6704500,0.86
066570,53.0,6116200,0.81
034020,53.0,4796500,0.68
055550,53.0,4923700,0.63
006800,53.0,3455600,0.46
251270,53.0,2570500,0.37
034220,53.0,616390,0.08
010010,0.0,0,0.54
