티커,계약수,금액,비중
042660,913.0,111477300,23.78
329180,182.0,101738000,20.73
010140,3444.0,93676800,19.54
009540,236.0,96052000,19.5
082740,626.0,29922800,6.23
071970,220.0,17402000,3.55
097230,544.0,12321600,2.59
439260,110.0,11352000,2.32
017960,86.0,3306700,0.74
443060,12.0,2077200,0.42
010010,0.0,0,0.6
