티커,계약수,금액,비중
005380,108.0,59184000,7.91
012330,98.0,42336000,5.77
000270,246.0,40934400,5.44
005930,194.0,37170400,4.84
009150,87.0,34930500,4.66
000660,37.0,34817000,4.53
307950,80.0,32200000,4.34
005850,474.0,31284000,4.28
457190,271.0,26287000,3.77
006400,61.0,23942500,3.32
011210,245.0,22295000,2.96
086280,90.0,22185000,2.9
247540,108.0,21103200,2.9
058610,165.0,20938500,2.87
204320,373.0,20104700,2.66
281740,886.0,18251600,2.64
448900,126.0,15611400,2.5
161390,304.0,18756800,2.39
373220,44.0,16346000,2.2
095610,207.0,14883300,2.11
066570,124.0,14309600,1.94
353200,211.0,12512300,1.86
015750,1637.0,12686750,1.77
020150,323.0,12031750,1.75
064960,363.0,12051600,1.62
195870,200.0,10900000,1.55
214430,107.0,10518100,1.47
437730,196.0,9711800,1.46
011070,39.0,10276500,1.4
098460,318.0,9730800,1.39
003670,48.0,9984000,1.37
000150,8.0,8584000,1.11
007660,64.0,7398400,0.97
097520,285.0,6797250,0.9
090460,224.0,3673600,0.5
248070,201.0,3408960,0.46
361610,121.0,2746700,0.38
096770,13.0,1644500,0.22
051910,3.0,973500,0.13
356860,12.0,664800,0.1
010010,0.0,0,2.63
