티커,계약수,금액,비중
005380,172.0,94256000,6.65
005830,393.0,74905800,5.18
039490,161.0,71001000,4.9
000270,410.0,68224000,4.79
005940,2017.0,64644850,4.54
003540,1581.0,63081900,4.42
023590,1206.0,61264800,4.23
016360,608.0,57881600,4.08
032830,252.0,53928000,3.7
175330,1587.0,46419750,3.26
029780,770.0,45815000,3.19
006800,663.0,43227600,3.11
161390,717.0,44238900,2.97
120110,656.0,40278400,2.89
005440,2438.0,35692320,2.47
033780,224.0,35078400,2.42
003550,363.0,35138400,2.39
047050,373.0,24618000,1.91
000810,53.0,26049500,1.84
030200,437.0,25258600,1.8
018670,110.0,26180000,1.78
001800,1086.0,24923700,1.74
031430,1959.0,24389550,1.69
042700,64.0,20160000,1.49
014680,68.0,19958000,1.47
001680,996.0,20766600,1.44
025540,286.0,20449000,1.41
010120,26.0,18226000,1.28
012330,41.0,17712000,1.27
028260,64.0,18752000,1.27
001040,91.0,16744000,1.17
018260,95.0,15855500,1.09
052690,98.0,14327600,1.07
271560,115.0,14271500,1.02
026890,1344.0,14716800,0.99
097950,68.0,13402800,0.93
011070,48.0,12648000,0.91
007310,34.0,12665000,0.87
006260,43.0,10728500,0.75
014830,135.0,10098000,0.74
012510,81.0,9598500,0.67
185750,90.0,7650000,0.54
138040,66.0,7642800,0.53
079550,9.0,6867000,0.52
047810,36.0,6444000,0.46
090430,41.0,5338200,0.38
128940,9.0,4671000,0.32
009450,75.0,4492500,0.32
035420,19.0,4180000,0.3
003230,2.0,2120000,0.15
010010,0.0,0,0.67
