티커,계약수,금액,비중
000250,74.0,58904000,13.58
196170,133.0,49476000,11.91
298380,219.0,38784900,10.01
028300,623.0,31523800,7.6
087010,115.0,29957500,7.26
141080,138.0,26220000,6.6
310210,57.0,18040500,4.51
226950,86.0,16881800,4.28
347850,184.0,15124800,3.71
140410,117.0,15046200,3.51
214450,37.0,11729000,2.96
237690,68.0,10118400,2.61
214370,84.0,10281600,2.61
039200,177.0,8956200,2.18
290650,94.0,7783200,1.99
145020,29.0,7482000,1.82
068760,108.0,6782400,1.68
214150,116.0,6368400,1.54
085660,295.0,5616800,1.4
007390,273.0,5397210,1.3
328130,124.0,4476400,1.07
195940,78.0,3814200,0.95
096530,165.0,3918750,0.94
358570,246.0,3717060,0.9
086900,28.0,3379600,0.83
086450,129.0,2412300,0.61
053030,154.0,2094400,0.51
336570,227.0,1645750,0.4
010010,0.0,0,0.72
