티커,계약수,금액,비중
005930,3830.0,733828000,25.01
000660,461.0,433801000,14.78
005380,133.0,72884000,2.55
373220,151.0,56096500,1.98
207940,31.0,51057000,1.77
012450,33.0,45573000,1.7
402340,86.0,48676000,1.65
000270,256.0,42598400,1.48
034020,416.0,37648000,1.41
329180,67.0,37453000,1.29
105560,241.0,35909000,1.23
028260,112.0,32816000,1.1
068270,149.0,31513500,1.1
055550,311.0,28891900,0.99
032830,130.0,27820000,0.95
012330,59.0,25488000,0.91
006800,390.0,25428000,0.91
042660,198.0,24175800,0.87
010130,13.0,22867000,0.79
035420,102.0,22440000,0.79
267260,23.0,22632000,0.77
006400,50.0,19625000,0.71
086790,186.0,20683200,0.71
015760,419.0,20195800,0.71
042700,61.0,19215000,0.71
272210,120.0,18096000,0.66
009150,47.0,18870500,0.66
005490,53.0,18364500,0.65
009540,45.0,18315000,0.63
034730,47.0,16896500,0.58
064350,70.0,15785000,0.57
316140,483.0,16301250,0.55
010140,573.0,15585600,0.55
035720,288.0,14745600,0.54
000810,30.0,14745000,0.52
298040,6.0,14904000,0.52
051910,45.0,14602500,0.51
138040,122.0,14127600,0.48
267250,50.0,13750000,0.48
096770,109.0,13788500,0.47
010120,19.0,13319000,0.46
011200,606.0,12877500,0.44
066570,106.0,12232400,0.43
033780,80.0,12528000,0.43
003670,57.0,11856000,0.43
024110,518.0,12328400,0.43
079550,14.0,10682000,0.41
000150,11.0,11803000,0.4
047810,63.0,11277000,0.4
086280,47.0,11585500,0.4
000720,72.0,10368000,0.39
017670,140.0,10906000,0.37
030200,164.0,9479200,0.34
003550,102.0,9873600,0.33
010950,72.0,9698400,0.32
0126Z0,17.0,9537000,0.32
352820,26.0,8918000,0.32
005830,46.0,8767600,0.3
047050,112.0,7392000,0.28
071050,35.0,8067500,0.28
018260,49.0,8178100,0.28
278470,25.0,7075000,0.27
323410,308.0,7407400,0.26
039490,17.0,7497000,0.26
259960,31.0,6820000,0.24
307950,17.0,6842500,0.24
005940,213.0,6826650,0.24
000880,48.0,6129600,0.22
007660,52.0,6011200,0.21
003490,237.0,5806500,0.2
009830,110.0,4884000,0.2
016360,57.0,5426400,0.19
180640,43.0,5211600,0.18
003230,5.0,5300000,0.18
377300,85.0,5040500,0.18
006260,21.0,5239500,0.18
326030,50.0,5330000,0.18
000100,51.0,5038800,0.18
090430,38.0,4947600,0.17
161390,80.0,4936000,0.16
443060,28.0,4846800,0.16
029780,74.0,4403000,0.15
032640,280.0,4202800,0.15
028050,125.0,4143750,0.15
267270,33.0,4177800,0.14
128940,8.0,4152000,0.14
011070,15.0,3952500,0.14
064400,62.0,3887400,0.14
052690,25.0,3655000,0.13
078930,59.0,3929400,0.13
241560,65.0,3718000,0.13
138930,209.0,3929200,0.13
034220,319.0,3709970,0.13
454910,41.0,3714600,0.13
175330,125.0,3656250,0.13
001440,119.0,3468850,0.12
021240,47.0,3501500,0.12
088980,307.0,3487520,0.12
001040,19.0,3496000,0.12
004020,85.0,3043000,0.12
022100,97.0,3133100,0.11
002380,6.0,3234000,0.11
271560,25.0,3102500,0.11
450080,44.0,2780800,0.11
036570,14.0,2863000,0.1
251270,55.0,2667500,0.1
062040,20.0,2870000,0.1
088350,557.0,2606760,0.1
066970,23.0,2461000,0.09
111770,28.0,2595600,0.09
489790,31.0,2427300,0.09
082740,53.0,2533400,0.09
439260,25.0,2580000,0.09
000990,28.0,2660000,0.09
035250,138.0,2460540,0.09
011790,24.0,2380800,0.09
051900,10.0,2355000,0.09
031210,44.0,2477200,0.08
103590,29.0,2349000,0.08
012510,20.0,2370000,0.08
047040,267.0,2280180,0.08
103140,18.0,2131200,0.08
036460,59.0,2188900,0.08
