티커,계약수,금액,비중
005930,2721.0,521343600,27.05
000660,327.0,307707000,15.96
102110,791.0,66127600,3.49
005380,79.0,43292000,2.31
310960,640.0,31155200,1.64
402340,54.0,30564000,1.58
012450,19.0,26239000,1.49
105560,189.0,28161000,1.47
034020,250.0,22625000,1.29
000270,141.0,23462400,1.24
055550,243.0,22574700,1.18
068270,90.0,19035000,1.01
035420,80.0,17600000,0.94
028260,59.0,17287000,0.88
086790,146.0,16235200,0.85
012330,36.0,15552000,0.84
006400,36.0,14130000,0.78
005490,40.0,13860000,0.75
009150,33.0,13249500,0.71
316140,389.0,13128750,0.68
267260,13.0,12792000,0.66
009540,28.0,11396000,0.59
373220,29.0,10773500,0.58
006800,160.0,10432000,0.57
010140,385.0,10472000,0.56
329180,19.0,10621000,0.56
035720,196.0,10035200,0.55
032830,49.0,10486000,0.54
064350,43.0,9696500,0.53
207940,6.0,9882000,0.52
042660,77.0,9401700,0.52
000810,18.0,8847000,0.47
015760,183.0,8820600,0.47
051910,27.0,8761500,0.47
010130,5.0,8795000,0.46
042700,25.0,7875000,0.44
033780,52.0,8143200,0.42
030200,128.0,7398400,0.4
034730,21.0,7549500,0.4
047810,41.0,7339000,0.4
066570,63.0,7270200,0.39
298040,3.0,7452000,0.39
267250,26.0,7150000,0.38
000720,43.0,6192000,0.36
079550,8.0,6104000,0.35
017670,87.0,6777300,0.35
272210,41.0,6182800,0.34
010120,9.0,6309000,0.33
071050,24.0,5532000,0.29
096770,43.0,5439500,0.28
086280,22.0,5423000,0.28
138040,45.0,5211000,0.27
003550,53.0,5130400,0.26
005830,26.0,4955600,0.26
323410,197.0,4737850,0.25
352820,13.0,4459000,0.24
003670,21.0,4368000,0.24
278470,14.0,3962000,0.23
000150,4.0,4292000,0.22
039490,9.0,3969000,0.21
259960,17.0,3740000,0.2
011200,181.0,3846250,0.2
018260,23.0,3838700,0.2
024110,158.0,3760400,0.2
007660,32.0,3699200,0.19
003490,148.0,3626000,0.19
000100,35.0,3458000,0.18
180640,28.0,3393600,0.18
016360,36.0,3427200,0.18
009830,63.0,2797200,0.17
003230,3.0,3180000,0.17
010950,24.0,3232800,0.16
028050,92.0,3049800,0.16
138930,150.0,2820000,0.15
005940,85.0,2724250,0.14
175330,92.0,2691000,0.14
161390,42.0,2591400,0.13
006260,10.0,2495000,0.13
011070,9.0,2371500,0.13
032640,160.0,2401600,0.13
021240,32.0,2384000,0.13
090430,18.0,2343600,0.13
000880,17.0,2170900,0.12
0126Z0,4.0,2244000,0.11
036570,10.0,2045000,0.11
128940,4.0,2076000,0.11
034220,169.0,1965470,0.11
001440,66.0,1923900,0.11
047050,27.0,1782000,0.1
004020,49.0,1754200,0.1
066970,16.0,1712000,0.1
241560,31.0,1773200,0.1
064400,28.0,1755600,0.1
052690,11.0,1608200,0.09
078930,26.0,1731600,0.09
001040,9.0,1656000,0.09
326030,16.0,1705600,0.09
271560,13.0,1613300,0.09
307950,4.0,1610000,0.09
002380,3.0,1617000,0.09
014680,5.0,1467500,0.08
082740,32.0,1529600,0.08
443060,9.0,1557900,0.08
051900,6.0,1413000,0.08
139130,82.0,1414500,0.07
004170,4.0,1350000,0.07
017800,15.0,1290000,0.07
457190,12.0,1164000,0.07
111770,13.0,1205100,0.07
011790,12.0,1190400,0.07
003240,1.0,1204000,0.06
