티커,계약수,금액,비중
000660,1371.0,1290111000,24.76
005930,5687.0,1089629200,20.92
042700,1753.0,552195000,11.43
058470,2070.0,251298000,5.14
240810,1374.0,182467200,3.7
039030,350.0,156100000,3.1
000990,1273.0,120935000,2.24
440110,1505.0,99480500,2.09
403870,1966.0,88371700,1.84
095340,425.0,85850000,1.76
036930,1324.0,88443200,1.74
084370,575.0,83317500,1.66
089030,1115.0,73924500,1.55
067310,1998.0,69930000,1.41
098460,2152.0,65851200,1.39
323280,893.0,66528500,1.34
101490,678.0,62647200,1.24
064760,234.0,57330000,1.19
319660,823.0,53741900,1.15
222800,1030.0,51500000,1.15
080220,1267.0,56698250,1.14
218410,687.0,46166400,0.96
232140,1646.0,33907600,0.71
031980,297.0,32402700,0.68
131970,493.0,30418100,0.66
161580,704.0,32172800,0.66
166090,438.0,28951800,0.58
183300,249.0,25572300,0.53
348210,315.0,25168500,0.52
322000,215.0,19371500,0.49
108320,455.0,23478000,0.47
036540,3093.0,21836580,0.45
213420,540.0,20196000,0.41
281820,355.0,16472000,0.33
399720,252.0,15246000,0.31
010010,0.0,0,0.29
