티커,계약수,금액,비중
005930,2807.0,537821200,21.6
000660,549.0,516609000,20.75
402340,280.0,158480000,6.33
005935,825.0,106095000,4.32
000270,554.0,92185600,3.78
138930,4840.0,90992000,3.65
000880,476.0,60785200,2.58
011200,2728.0,57970000,2.36
139130,2941.0,50732250,2.05
032640,3302.0,49563020,2.04
078930,625.0,41625000,1.68
034730,103.0,37028500,1.51
088350,7261.0,33981480,1.47
004020,829.0,29678200,1.35
001450,1013.0,31099100,1.28
139480,334.0,30527600,1.26
003090,1160.0,26854000,1.12
096530,1103.0,26196250,1.06
005387,92.0,25024000,1.04
086450,1204.0,22514800,0.98
017670,310.0,24149000,0.97
003550,245.0,23716000,0.94
005830,119.0,22681400,0.92
375500,416.0,18553600,0.78
006120,327.0,17690700,0.74
00088K,320.0,16160000,0.68
005385,59.0,15959500,0.66
047040,1780.0,15201200,0.64
006400,36.0,14130000,0.6
010060,97.0,12736100,0.6
185750,165.0,14025000,0.58
006360,710.0,13880500,0.58
028670,2599.0,14710340,0.56
195940,267.0,13056300,0.56
002380,25.0,13475000,0.55
069620,77.0,12782000,0.53
001120,317.0,12600750,0.51
036460,271.0,10054100,0.41
241560,164.0,9380800,0.4
161390,154.0,9501800,0.37
035760,123.0,7933500,0.33
011070,26.0,6851000,0.29
294870,289.0,6040100,0.25
018260,34.0,5674600,0.23
000990,61.0,5795000,0.22
000210,126.0,5329800,0.22
001430,85.0,5185000,0.22
023590,104.0,5283200,0.21
001800,227.0,5209650,0.21
097950,23.0,4533300,0.18
004000,98.0,4370800,0.18
023530,46.0,4416000,0.18
111770,45.0,4171500,0.18
004990,124.0,3893600,0.16
030000,178.0,3631200,0.15
009970,15.0,3405000,0.14
120110,50.0,3070000,0.13
069960,35.0,3202500,0.13
000120,26.0,2969200,0.13
034220,248.0,2884240,0.12
137310,360.0,2797200,0.11
012630,111.0,2702850,0.11
011170,34.0,2482000,0.1
001720,13.0,2453100,0.1
003380,145.0,2179350,0.1
251270,41.0,1988500,0.09
007070,107.0,2028720,0.08
001680,83.0,1730550,0.07
005440,104.0,1522560,0.06
298020,4.0,1342000,0.05
007340,49.0,1200500,0.05
108320,22.0,1135200,0.05
181710,26.0,916500,0.04
000240,33.0,851400,0.04
067160,13.0,838500,0.03
178320,16.0,743200,0.03
031980,6.0,654600,0.03
280360,5.0,580500,0.02
010010,0.0,0,0.18
