티커,계약수,금액,비중
005830,926.0,176495600,10.0
005940,4601.0,147462050,8.49
017800,1504.0,129344000,7.5
000270,777.0,129292800,7.44
023530,1091.0,104736000,6.05
005380,180.0,98640000,5.7
030000,4826.0,98450400,5.59
003540,1906.0,76049400,4.37
016360,742.0,70638400,4.08
316140,2126.0,71752500,4.03
029780,1150.0,68425000,3.91
138930,3609.0,67849200,3.81
175330,2212.0,64701000,3.73
078930,975.0,64935000,3.67
030200,1083.0,62597400,3.66
139130,3699.0,63807750,3.61
003690,4768.0,62508480,3.5
003550,595.0,57596000,3.21
033780,333.0,52147800,2.95
032640,3376.0,50673760,2.92
010010,0.0,0,1.79
