티커,계약수,금액,비중
128940,38.0,19722000,1.79
011070,70.0,18445000,1.72
267270,142.0,17977200,1.64
052690,113.0,16520600,1.6
001440,550.0,16032500,1.52
022100,449.0,14502700,1.38
450080,208.0,13145600,1.34
066970,119.0,12733000,1.29
002380,26.0,14014000,1.28
062040,90.0,12915000,1.21
489790,149.0,11666700,1.17
088350,2564.0,11999520,1.16
111770,131.0,12143700,1.15
018880,3030.0,11998800,1.14
082740,246.0,11758800,1.09
011790,112.0,11110400,1.06
103590,141.0,11421000,1.06
000990,128.0,12160000,1.05
031210,206.0,11597800,1.04
047040,1227.0,10478580,0.98
012510,90.0,10665000,0.97
014680,34.0,9979000,0.96
302440,231.0,10221750,0.92
036460,273.0,10128300,0.92
103140,83.0,9827200,0.92
017800,115.0,9890000,0.91
004990,310.0,9734000,0.9
353200,146.0,8657800,0.89
004170,29.0,9787500,0.88
001720,49.0,9246300,0.87
011170,126.0,9198000,0.87
011780,77.0,9394000,0.86
012750,112.0,9318400,0.86
457190,89.0,8633000,0.85
005850,137.0,9042000,0.85
009970,40.0,9080000,0.84
097950,45.0,8869500,0.8
081660,177.0,8513700,0.78
009420,154.0,8639400,0.78
010060,55.0,7221500,0.76
028670,1578.0,8931480,0.76
139130,478.0,8245500,0.74
001450,264.0,8104800,0.74
023530,84.0,8064000,0.74
000120,67.0,7651400,0.73
008930,202.0,7746700,0.73
071970,100.0,7910000,0.72
336260,193.0,7343650,0.71
085620,524.0,7110680,0.7
139480,82.0,7494800,0.69
026960,294.0,7482300,0.68
204320,139.0,7492100,0.68
003690,575.0,7538250,0.67
051600,133.0,7261800,0.67
011210,80.0,7280000,0.67
000240,280.0,7224000,0.66
004800,49.0,7158900,0.65
004370,18.0,7146000,0.65
383220,113.0,7175500,0.65
030000,340.0,6936000,0.63
023590,133.0,6756400,0.61
005440,460.0,6734400,0.61
001430,106.0,6466000,0.6
112610,125.0,5812500,0.59
017960,153.0,5882850,0.58
002790,235.0,6345000,0.58
020150,155.0,5773750,0.58
018670,27.0,6426000,0.57
097230,267.0,6047550,0.56
003540,150.0,5985000,0.55
069960,67.0,6130500,0.55
282330,51.0,5880300,0.53
069620,34.0,5644000,0.53
192820,34.0,5681400,0.52
361610,241.0,5470700,0.52
483650,37.0,5527800,0.51
462870,174.0,5254800,0.5
006280,35.0,5236000,0.49
375500,114.0,5084400,0.48
120110,81.0,4973400,0.46
005070,96.0,4708800,0.46
073240,848.0,5121920,0.46
006040,130.0,5070000,0.46
006360,253.0,4946150,0.46
395400,876.0,5010720,0.46
000500,49.0,4659900,0.45
161890,70.0,4844000,0.45
008770,116.0,4970600,0.44
003530,633.0,4690530,0.44
003570,98.0,4890200,0.43
007070,247.0,4683120,0.42
034230,273.0,4665570,0.42
001120,114.0,4531500,0.41
032350,235.0,4533150,0.41
007310,12.0,4470000,0.4
007340,173.0,4238500,0.4
020560,608.0,4292480,0.39
030610,336.0,4280640,0.39
298020,13.0,4361500,0.39
001800,185.0,4245750,0.39
012630,176.0,4285600,0.39
294870,195.0,4075500,0.38
003090,172.0,3981800,0.37
082640,476.0,3451000,0.35
229640,90.0,3762000,0.35
330590,853.0,3915270,0.35
003240,3.0,3612000,0.33
484870,27.0,3518100,0.33
415640,362.0,3627240,0.33
300720,217.0,3571820,0.33
181710,97.0,3419250,0.32
077970,119.0,3546200,0.32
185750,41.0,3485000,0.32
004000,76.0,3389600,0.32
001740,653.0,3487020,0.31
100090,184.0,3124320,0.31
000080,207.0,3458970,0.31
089860,107.0,3386550,0.31
005300,27.0,3383100,0.31
000670,58.0,3219000,0.3
192080,64.0,3152000,0.29
280360,28.0,3250800,0.29
365550,727.0,3071575,0.28
285130,51.0,3029400,0.28
009240,70.0,3006500,0.27
006120,54.0,2921400,0.27
071320,34.0,2968200,0.27
192400,105.0,3003000,0.27
003470,589.0,2833090,0.27
030190,176.0,2891680,0.27
281820,61.0,2830400,0.26
036530,48.0,2702400,0.25
298050,13.0,2717000,0.25
475150,100.0,2395000,0.25
137310,359.0,2789430,0.25
075580,168.0,2761920,0.25
057050,35.0,2705500,0.25
499790,59.0,2752350,0.25
451800,530.0,2697700,0.25
000210,62.0,2622600,0.25
009450,43.0,2575700,0.24
064960,78.0,2589600,0.24
010780,89.0,2492000,0.24
005690,177.0,2520480,0.23
004490,41.0,2550200,0.23
108320,48.0,2476800,0.23
100840,61.0,2449150,0.23
000370,345.0,2435700,0.23
079160,489.0,2493900,0.22
248070,141.0,2391360,0.22
003850,253.0,2400970,0.22
006650,19.0,2534600,0.21
079900,43.0,2274700,0.21
214320,118.0,2285660,0.21
114090,183.0,2362530,0.21
007700,116.0,2187760,0.2
002020,37.0,2097900,0.2
002350,288.0,2255040,0.2
005880,953.0,2306260,0.2
005180,28.0,2167200,0.2
025540,30.0,2145000,0.19
014820,86.0,2098400,0.19
002960,4.0,2068000,0.19
069260,121.0,2181630,0.19
001680,102.0,2126700,0.19
003620,597.0,2095470,0.19
381970,144.0,2066400,0.19
000640,19.0,2046300,0.19
271940,107.0,1855380,0.18
293940,357.0,2027760,0.18
002840,14.0,1951600,0.18
000400,916.0,1886960,0.18
005250,139.0,1991870,0.18
017940,20.0,1986000,0.18
268280,15.0,1929000,0.18
039130,46.0,1950400,0.18
383800,225.0,1858500,0.17
008730,73.0,1730100,0.17
093050,86.0,1758700,0.16
005420,113.0,1606860,0.16
336370,207.0,1645650,0.16
019170,156.0,1731600,0.16
005810,43.0,1698500,0.16
002030,6.0,1704000,0.16
145720,33.0,1663200,0.15
004690,12.0,1634400,0.15
016380,295.0,1646100,0.15
000070,23.0,1651400,0.15
284740,66.0,1603800,0.15
014830,20.0,1496000,0.14
003030,12.0,1512000,0.14
009410,879.0,1532097,0.14
453340,97.0,1515140,0.14
003300,91.0,1496950,0.14
161000,144.0,1395360,0.13
001530,61.0,1351150,0.12
089590,238.0,1273300,0.11
010010,0.0,0,1.33
