티커,계약수,금액,비중
034730,148.0,53206000,15.11
267250,188.0,51700000,14.94
051910,157.0,50946500,14.6
096770,310.0,39215000,11.03
009830,451.0,20024400,6.65
010950,174.0,23437800,6.43
000880,116.0,14813200,4.38
078930,186.0,12387600,3.48
014680,37.0,10859500,3.27
457190,84.0,8148000,2.51
011790,82.0,8134400,2.42
010060,55.0,7221500,2.37
011780,63.0,7686000,2.2
011170,75.0,5475000,1.61
017960,134.0,5152300,1.6
120110,76.0,4666400,1.36
298020,10.0,3355000,0.93
004000,60.0,2676000,0.78
285130,40.0,2376000,0.67
298050,10.0,2090000,0.6
006650,14.0,1867600,0.49
093370,228.0,1609680,0.48
005420,106.0,1507320,0.47
069260,90.0,1622700,0.45
003240,1.0,1204000,0.35
002840,5.0,697000,0.2
268280,3.0,385800,0.11
010010,0.0,0,0.5
