티커,계약수,금액,비중
012450,42.0,58002000,21.69
373220,94.0,34921000,12.37
047810,134.0,23986000,8.56
079550,26.0,19838000,7.56
272210,133.0,20056400,7.37
010120,30.0,21030000,7.36
086280,70.0,17255000,5.94
003670,68.0,14144000,5.11
011200,594.0,12622500,4.38
003490,485.0,11882500,4.14
006260,32.0,7984000,2.78
001440,213.0,6208950,2.25
047050,87.0,5742000,2.22
066970,52.0,5564000,2.15
012750,46.0,3827200,1.34
450080,48.0,3033600,1.18
000120,21.0,2398200,0.87
051600,42.0,2293200,0.81
028670,428.0,2422480,0.78
361610,72.0,1634400,0.59
010010,0.0,0,0.54
