티커,계약수,금액,비중
086520,183.0,29426400,7.42
196170,76.0,28272000,6.76
247540,101.0,19735400,4.88
000250,26.0,20696000,4.74
298380,77.0,13636700,3.49
058470,93.0,11290200,2.82
277810,14.0,11718000,2.78
028300,218.0,11030800,2.64
087010,40.0,10420000,2.51
141080,48.0,9120000,2.28
240810,62.0,8233600,2.04
039030,16.0,7136000,1.73
310210,20.0,6330000,1.57
226950,30.0,5889000,1.48
347850,65.0,5343000,1.3
140410,41.0,5272600,1.22
032820,287.0,4758460,1.18
108490,19.0,4465000,1.13
214450,13.0,4121000,1.03
403870,88.0,3955600,1.0
263750,71.0,3897900,1.0
095340,19.0,3838000,0.96
036930,59.0,3941200,0.94
084370,26.0,3767400,0.92
214370,29.0,3549600,0.9
237690,23.0,3422400,0.88
089030,50.0,3315000,0.85
005290,64.0,3308800,0.84
357780,7.0,3328500,0.84
083650,35.0,2828000,0.79
058610,25.0,3172500,0.78
035900,50.0,3080000,0.78
067310,89.0,3115000,0.77
039200,62.0,3137200,0.76
098460,96.0,2937600,0.76
323280,40.0,2980000,0.73
290650,33.0,2732400,0.69
064760,11.0,2695000,0.68
101490,30.0,2772000,0.67
178320,58.0,2694100,0.65
319660,37.0,2416100,0.63
222800,46.0,2300000,0.63
041510,25.0,2465000,0.62
080220,57.0,2550750,0.62
145020,10.0,2580000,0.62
082270,60.0,2343000,0.62
048410,164.0,2510840,0.6
257720,62.0,2402500,0.59
068760,37.0,2323600,0.57
078600,19.0,1831600,0.54
140860,8.0,2136000,0.53
466100,36.0,2167200,0.53
218410,31.0,2083200,0.53
214150,40.0,2196000,0.53
065350,34.0,2080800,0.5
085660,105.0,1999200,0.5
348370,32.0,1913600,0.49
007390,95.0,1878150,0.45
189300,15.0,1812000,0.44
122870,26.0,1669200,0.43
137400,35.0,1666000,0.42
095610,22.0,1581800,0.4
232140,74.0,1524400,0.39
281740,69.0,1421400,0.37
328130,43.0,1552300,0.37
031980,13.0,1418300,0.36
131970,22.0,1357400,0.36
161580,31.0,1416700,0.35
222080,96.0,1239360,0.35
035760,21.0,1354500,0.33
195940,27.0,1320300,0.33
096530,58.0,1377500,0.33
003380,82.0,1232460,0.31
358570,86.0,1299460,0.31
166090,19.0,1255900,0.31
086900,10.0,1207000,0.29
388720,11.0,1144000,0.29
417200,71.0,1069260,0.29
183300,11.0,1129700,0.28
348210,14.0,1118600,0.28
121600,17.0,1054000,0.28
056080,34.0,1028500,0.26
074600,29.0,890300,0.25
014620,31.0,1016800,0.25
036540,139.0,981340,0.25
036810,26.0,968500,0.24
253450,25.0,972500,0.24
171090,8.0,972000,0.24
042000,35.0,988750,0.24
025980,117.0,951210,0.23
293490,72.0,931680,0.23
052400,15.0,921000,0.23
032500,53.0,911600,0.23
131290,9.0,855900,0.23
033100,19.0,913900,0.23
213420,24.0,897600,0.22
067160,14.0,903000,0.22
086450,45.0,841500,0.21
383310,25.0,827500,0.21
025320,150.0,874500,0.21
060280,54.0,830520,0.21
365340,15.0,817500,0.21
241710,11.0,809600,0.2
112040,36.0,817200,0.2
060250,41.0,815080,0.2
214430,8.0,786400,0.2
050890,99.0,780120,0.2
033500,33.0,886050,0.2
376300,22.0,752400,0.2
272290,23.0,718750,0.19
060370,29.0,797500,0.19
006730,52.0,734760,0.18
053800,12.0,735600,0.18
056190,24.0,720000,0.18
053030,54.0,734400,0.18
046890,71.0,697930,0.17
059090,48.0,673440,0.17
009520,39.0,672750,0.17
015750,87.0,674250,0.17
399720,11.0,665500,0.17
204270,36.0,673560,0.17
211050,50.0,663000,0.16
253590,37.0,585340,0.16
041190,97.0,672210,0.16
036620,115.0,635950,0.16
095660,23.0,552000,0.15
079370,34.0,598740,0.15
018290,40.0,613200,0.15
032190,24.0,570000,0.14
336570,79.0,572750,0.14
030520,28.0,565600,0.14
194480,14.0,552300,0.13
215200,12.0,534600,0.13
036830,10.0,514000,0.13
160190,9.0,521100,0.13
101360,27.0,485190,0.12
078340,15.0,477750,0.12
179900,24.0,518400,0.12
225570,43.0,478160,0.11
058970,13.0,462150,0.11
069080,37.0,456950,0.11
278280,9.0,412200,0.11
304100,20.0,442000,0.11
108860,43.0,436880,0.1
251970,8.0,375200,0.09
215000,7.0,361200,0.08
200130,26.0,317200,0.08
101730,39.0,209430,0.05
025900,20.0,184600,0.05
352480,6.0,162000,0.04
010010,0.0,0,0.04
