티커,계약수,금액,비중
005930,3187.0,610629200,21.22
000660,605.0,569305000,19.78
042700,1210.0,381150000,14.28
058470,1429.0,173480600,6.42
007660,1567.0,181145200,6.35
240810,920.0,122176000,4.48
039030,242.0,107932000,3.88
000990,879.0,83505000,2.8
014680,255.0,74842500,2.8
403870,1397.0,62795150,2.36
357780,121.0,57535500,2.14
089030,770.0,51051000,1.94
005290,964.0,49838800,1.88
101490,462.0,42688800,1.53
319660,560.0,36568000,1.41
140860,131.0,34977000,1.3
281740,1062.0,21877200,0.85
131970,335.0,20669500,0.81
183300,169.0,17356300,0.65
195870,289.0,15750500,0.6
036810,422.0,15719500,0.59
108320,314.0,16202400,0.59
036540,2135.0,15073100,0.57
131290,124.0,11792400,0.47
010010,0.0,0,0.32
