티커,계약수,금액,비중
000250,86.0,68456000,6.22
397030,481.0,30399200,3.03
310210,94.0,29751000,2.93
226950,145.0,28463500,2.84
456160,264.0,23812800,2.58
290650,307.0,25419600,2.56
085660,1306.0,24866240,2.45
475830,220.0,25300000,2.44
237690,157.0,23361600,2.38
445680,213.0,22152000,2.22
145020,89.0,22962000,2.2
128940,45.0,23355000,2.2
068270,109.0,23053500,2.19
476060,1130.0,21639500,2.14
009420,395.0,22159500,2.07
141080,109.0,20710000,2.05
389470,226.0,21018000,2.04
008930,546.0,20939100,2.04
376900,276.0,20092800,2.02
028300,421.0,21302600,2.02
068760,330.0,20724000,2.02
195940,390.0,19071000,1.88
298380,104.0,18418400,1.87
207940,12.0,19764000,1.87
087010,75.0,19537500,1.87
0126Z0,36.0,20196000,1.85
328130,542.0,19566200,1.85
347850,230.0,18906000,1.83
336570,2617.0,18973250,1.81
214150,340.0,18666000,1.78
007390,929.0,18366330,1.74
053030,1319.0,17938400,1.73
005690,1228.0,17486720,1.68
214450,53.0,16801000,1.67
380550,738.0,17453700,1.67
039200,339.0,17153400,1.65
317450,281.0,17141000,1.65
389650,230.0,15272000,1.65
000100,175.0,17290000,1.64
302440,387.0,17124750,1.6
196170,45.0,16740000,1.59
249420,502.0,16465600,1.57
468530,212.0,14924800,1.57
394800,1139.0,15684030,1.53
326030,150.0,15990000,1.46
358570,999.0,15094890,1.44
067080,1002.0,13927800,1.35
287840,315.0,13781250,1.28
220100,595.0,12019000,1.13
424870,1437.0,10921200,1.04
010010,0.0,0,0.1
