티커,계약수,금액,비중
005930,5876.0,1125841600,33.42
000660,689.0,648349000,19.24
005380,170.0,93160000,2.84
402340,115.0,65090000,1.92
012450,41.0,56621000,1.84
105560,398.0,59302000,1.77
034020,539.0,48779500,1.6
000270,304.0,50585600,1.53
055550,513.0,47657700,1.42
068270,194.0,41031000,1.25
035420,171.0,37620000,1.15
028260,126.0,36918000,1.08
086790,315.0,35028000,1.05
012330,78.0,33696000,1.05
006400,76.0,29830000,0.94
005490,86.0,29799000,0.92
009150,69.0,27703500,0.84
316140,839.0,28316250,0.84
267260,28.0,27552000,0.82
009540,59.0,24013000,0.72
373220,62.0,23033000,0.71
006800,342.0,22298400,0.69
010140,829.0,22548800,0.69
329180,41.0,22919000,0.69
035720,423.0,21657600,0.69
032830,106.0,22684000,0.67
064350,92.0,20746000,0.65
207940,13.0,21411000,0.65
042660,166.0,20268600,0.64
015760,395.0,19039000,0.58
051910,58.0,18821000,0.57
000810,38.0,18677000,0.57
042700,53.0,16695000,0.53
033780,113.0,17695800,0.53
030200,275.0,15895000,0.49
034730,45.0,16177500,0.49
047810,88.0,15752000,0.49
066570,135.0,15579000,0.48
267250,57.0,15675000,0.48
010130,9.0,15831000,0.48
298040,6.0,14904000,0.45
000720,92.0,13248000,0.44
017670,186.0,14489400,0.43
079550,17.0,12971000,0.43
010120,20.0,14020000,0.43
272210,88.0,13270400,0.42
071050,51.0,11755500,0.35
096770,93.0,11764500,0.35
086280,46.0,11339000,0.34
138040,97.0,11232600,0.34
003550,114.0,11035200,0.32
323410,426.0,10245300,0.31
005830,54.0,10292400,0.31
003670,45.0,9360000,0.29
352820,27.0,9261000,0.29
000150,9.0,9657000,0.29
011200,391.0,8308750,0.25
259960,36.0,7920000,0.25
024110,341.0,8115800,0.24
018260,48.0,8011200,0.24
003490,319.0,7815500,0.24
000100,75.0,7410000,0.23
180640,59.0,7150800,0.22
016360,76.0,7235200,0.22
009830,136.0,6038400,0.21
010950,52.0,7004400,0.2
028050,197.0,6530550,0.2
005940,184.0,5897200,0.18
161390,90.0,5553000,0.16
003230,5.0,5300000,0.16
032640,346.0,5193460,0.16
021240,69.0,5140500,0.16
090430,39.0,5077800,0.16
011070,18.0,4743000,0.15
036570,21.0,4294500,0.14
034220,364.0,4233320,0.13
004020,106.0,3794800,0.13
047050,57.0,3762000,0.13
128940,8.0,4152000,0.12
241560,65.0,3718000,0.12
0126Z0,7.0,3927000,0.12
078930,56.0,3729600,0.11
326030,34.0,3624400,0.11
271560,27.0,3350700,0.1
443060,19.0,3288900,0.1
051900,12.0,2826000,0.09
011790,25.0,2480000,0.08
035250,142.0,2531860,0.08
011780,19.0,2318000,0.07
450080,32.0,2022400,0.07
377300,36.0,2134800,0.07
454910,24.0,2174400,0.07
251270,40.0,1940000,0.07
022100,63.0,2034900,0.06
097950,10.0,1971000,0.06
029780,33.0,1963500,0.06
011170,23.0,1679000,0.05
036460,46.0,1706600,0.05
302440,33.0,1460250,0.04
004990,37.0,1161800,0.04
010010,0.0,0,0.37
