티커,계약수,금액,비중
000660,603.0,567423000,25.29
005930,2610.0,500076000,22.3
402340,150.0,84900000,3.77
000270,424.0,70553600,3.21
012450,47.0,64907000,3.16
005935,450.0,57870000,2.61
035420,214.0,47080000,2.16
068270,220.0,46530000,2.12
267260,47.0,46248000,2.07
012330,98.0,42336000,1.98
028260,130.0,38090000,1.67
009150,85.0,34127500,1.56
064350,147.0,33148500,1.55
042700,95.0,29925000,1.44
207940,17.0,27999000,1.27
009540,69.0,28083000,1.26
000810,55.0,27032500,1.24
033780,159.0,24899400,1.12
079550,26.0,19838000,0.98
298040,8.0,19872000,0.9
047810,108.0,19332000,0.9
010120,23.0,16123000,0.73
005830,83.0,15819800,0.71
278470,51.0,14433000,0.71
086280,63.0,15529500,0.7
003550,135.0,13068000,0.58
058470,99.0,12018600,0.57
352820,33.0,11319000,0.53
018260,68.0,11349200,0.51
259960,49.0,10780000,0.5
017670,140.0,10906000,0.49
007660,84.0,9710400,0.44
003230,9.0,9540000,0.43
028050,277.0,9182550,0.42
000100,82.0,8101600,0.37
021240,98.0,7301000,0.33
161390,120.0,7404000,0.32
443060,35.0,6058500,0.27
039030,13.0,5798000,0.27
326030,55.0,5863000,0.26
271560,44.0,5460400,0.25
011070,20.0,5270000,0.25
403870,102.0,4584900,0.22
214450,14.0,4438000,0.21
014680,15.0,4402500,0.21
128940,9.0,4671000,0.21
241560,78.0,4461600,0.21
000990,51.0,4845000,0.21
035900,63.0,3880800,0.19
214370,29.0,3549600,0.17
052690,24.0,3508800,0.17
051900,15.0,3532500,0.17
111770,37.0,3429900,0.16
012510,29.0,3436500,0.16
095340,16.0,3232000,0.15
071970,41.0,3243100,0.15
237690,20.0,2976000,0.15
062040,21.0,3013500,0.14
103140,25.0,2960000,0.14
005290,55.0,2843500,0.14
357780,6.0,2853000,0.14
022100,88.0,2842400,0.13
145020,11.0,2838000,0.13
003690,224.0,2936640,0.13
083650,29.0,2343200,0.12
035250,150.0,2674500,0.12
001450,86.0,2640200,0.12
257720,66.0,2557500,0.12
064760,10.0,2450000,0.12
011780,21.0,2562000,0.12
214150,46.0,2525400,0.12
101490,27.0,2494800,0.11
140860,9.0,2403000,0.11
012750,30.0,2496000,0.11
041510,24.0,2366400,0.11
030000,124.0,2529600,0.11
017960,57.0,2191650,0.11
098460,68.0,2080800,0.1
051600,38.0,2074800,0.1
375500,45.0,2007000,0.09
004370,5.0,1985000,0.09
068760,30.0,1884000,0.09
005850,28.0,1848000,0.09
009970,8.0,1816000,0.08
137400,36.0,1713600,0.08
383220,29.0,1841500,0.08
031980,15.0,1636500,0.08
282330,14.0,1614200,0.07
026960,58.0,1476100,0.07
008930,31.0,1188850,0.06
183300,11.0,1129700,0.05
067160,17.0,1096500,0.05
073240,183.0,1105320,0.05
483650,7.0,1045800,0.05
030190,62.0,1018660,0.05
000240,37.0,954600,0.04
192080,19.0,935750,0.04
108320,18.0,928800,0.04
185750,11.0,935000,0.04
213420,24.0,897600,0.04
031210,15.0,844500,0.04
005440,57.0,834480,0.04
484870,6.0,781800,0.04
001800,35.0,803250,0.04
086450,40.0,748000,0.04
229640,18.0,752400,0.03
253450,18.0,700200,0.03
009450,12.0,718800,0.03
007310,2.0,745000,0.03
462870,22.0,664400,0.03
003090,29.0,671350,0.03
003570,14.0,698600,0.03
064960,20.0,664000,0.03
060370,23.0,632500,0.03
004490,10.0,622000,0.03
005180,8.0,619200,0.03
114090,48.0,619680,0.03
069260,29.0,522870,0.02
137310,66.0,512820,0.02
082640,62.0,449500,0.02
300720,29.0,477340,0.02
225570,33.0,366960,0.02
010010,0.0,0,0.41
