티커,계약수,금액,비중
069500,11839.0,989385230,0.0
005930,4643.0,889598800,0.0
000660,545.0,512845000,0.0
278530,11741.0,354049855,0.0
005380,135.0,73980000,0.0
152100,783.0,66425805,0.0
402340,90.0,50940000,0.0
012450,32.0,44192000,0.0
105560,315.0,46935000,0.0
034020,426.0,38553000,0.0
000270,240.0,39936000,0.0
055550,405.0,37624500,0.0
068270,154.0,32571000,0.0
035420,135.0,29700000,0.0
028260,100.0,29300000,0.0
086790,249.0,27688800,0.0
012330,61.0,26352000,0.0
006400,60.0,23550000,0.0
005490,68.0,23562000,0.0
009150,55.0,22082500,0.0
316140,663.0,22376250,0.0
267260,22.0,21648000,0.0
373220,49.0,18203500,0.0
009540,46.0,18722000,0.0
006800,270.0,17604000,0.0
010140,655.0,17816000,0.0
035720,334.0,17100800,0.0
329180,32.0,17888000,0.0
032830,83.0,17762000,0.0
069660,206.0,17126840,0.0
064350,73.0,16461500,0.0
042660,131.0,15995100,0.0
207940,10.0,16470000,0.0
015760,312.0,15038400,0.0
051910,46.0,14927000,0.0
000810,30.0,14745000,0.0
148020,172.0,14483260,0.0
042700,42.0,13230000,0.0
033780,89.0,13937400,0.0
030200,218.0,12600400,0.0
047810,70.0,12530000,0.0
066570,107.0,12347800,0.0
267250,45.0,12375000,0.0
034730,35.0,12582500,0.0
298040,5.0,12420000,0.0
010130,7.0,12313000,0.0
000720,73.0,10512000,0.0
017670,147.0,11451300,0.0
272210,69.0,10405200,0.0
079550,13.0,9919000,0.0
010120,15.0,10515000,0.0
096770,74.0,9361000,0.0
071050,40.0,9220000,0.0
138040,77.0,8916600,0.0
086280,36.0,8874000,0.0
237350,131.0,8715430,0.0
003550,90.0,8712000,0.0
005830,43.0,8195800,0.0
323410,336.0,8080800,0.0
003670,36.0,7488000,0.0
352820,21.0,7203000,0.0
000150,7.0,7511000,0.0
278470,24.0,6792000,0.0
011200,309.0,6566250,0.0
039490,15.0,6615000,0.0
024110,269.0,6402200,0.0
259960,28.0,6160000,0.0
018260,38.0,6342200,0.0
007660,54.0,6242400,0.0
003490,252.0,6174000,0.0
000100,59.0,5829200,0.0
016360,60.0,5712000,0.0
180640,46.0,5575200,0.0
009830,108.0,4795200,0.0
010950,42.0,5657400,0.0
028050,156.0,5171400,0.0
005940,145.0,4647250,0.0
138930,253.0,4756400,0.0
175330,156.0,4563000,0.0
006260,17.0,4241500,0.0
003230,4.0,4240000,0.0
161390,71.0,4380700,0.0
032640,273.0,4097730,0.0
090430,31.0,4036200,0.0
021240,54.0,4023000,0.0
011070,14.0,3689000,0.0
000880,28.0,3575600,0.0
036570,17.0,3476500,0.0
034220,288.0,3349440,0.0
047050,46.0,3036000,0.0
001440,111.0,3235650,0.0
066970,28.0,2996000,0.0
004020,83.0,2971400,0.0
128940,6.0,3114000,0.0
064400,47.0,2946900,0.0
241560,51.0,2917200,0.0
078930,44.0,2930400,0.0
052690,18.0,2631600,0.0
014680,9.0,2641500,0.0
271560,22.0,2730200,0.0
326030,27.0,2878200,0.0
0126Z0,5.0,2805000,0.0
082740,54.0,2581200,0.0
001040,14.0,2576000,0.0
443060,15.0,2596500,0.0
307950,6.0,2415000,0.0
004170,7.0,2362500,0.0
139130,137.0,2363250,0.0
051900,9.0,2119500,0.0
017800,25.0,2150000,0.0
002380,4.0,2156000,0.0
111770,22.0,2039400,0.0
457190,20.0,1940000,0.0
011790,20.0,1984000,0.0
103140,17.0,2012800,0.0
035250,113.0,2014790,0.0
012750,24.0,1996800,0.0
010060,13.0,1706900,0.0
009420,35.0,1963500,0.0
062040,13.0,1865500,0.0
139480,20.0,1828000,0.0
011780,15.0,1830000,0.0
001450,59.0,1811300,0.0
450080,25.0,1580000,0.0
047040,198.0,1690920,0.0
454910,19.0,1721400,0.0
071970,22.0,1740200,0.0
251270,32.0,1552000,0.0
377300,28.0,1660400,0.0
204320,32.0,1724800,0.0
022100,50.0,1615000,0.0
088350,327.0,1530360,0.0
097950,8.0,1576800,0.0
029780,26.0,1547000,0.0
081660,30.0,1443000,0.0
030000,69.0,1407600,0.0
011210,15.0,1365000,0.0
036460,37.0,1372700,0.0
011170,18.0,1314000,0.0
192820,8.0,1336800,0.0
017960,32.0,1230400,0.0
375500,29.0,1293400,0.0
000120,11.0,1256200,0.0
006360,64.0,1251200,0.0
008770,30.0,1285500,0.0
112610,24.0,1116000,0.0
003240,1.0,1204000,0.0
051600,22.0,1201200,0.0
161890,17.0,1176400,0.0
004370,3.0,1191000,0.0
028670,223.0,1262180,0.0
009970,5.0,1135000,0.0
302440,26.0,1150500,0.0
120110,18.0,1105200,0.0
008930,28.0,1073800,0.0
005850,16.0,1056000,0.0
069960,12.0,1098000,0.0
018880,244.0,966240,0.0
298020,3.0,1006500,0.0
023530,10.0,960000,0.0
073240,157.0,948280,0.0
282330,8.0,922400,0.0
004990,29.0,910600,0.0
361610,38.0,862600,0.0
383220,14.0,889000,0.0
069620,5.0,830000,0.0
026960,30.0,763500,0.0
006280,5.0,748000,0.0
001430,12.0,732000,0.0
034230,43.0,734870,0.0
185750,8.0,680000,0.0
004000,15.0,669000,0.0
002790,25.0,675000,0.0
298050,3.0,627000,0.0
000240,24.0,619200,0.0
007070,33.0,625680,0.0
226980,26.0,599690,0.0
285130,10.0,594000,0.0
192080,11.0,541750,0.0
007340,20.0,490000,0.0
004490,8.0,497600,0.0
000080,30.0,501300,0.0
000210,11.0,465300,0.0
001800,20.0,459000,0.0
003090,19.0,439850,0.0
093370,54.0,381240,0.0
001680,19.0,396150,0.0
006040,10.0,390000,0.0
005420,25.0,355500,0.0
069260,22.0,396660,0.0
005300,3.0,375900,0.0
006650,3.0,400200,0.0
114090,30.0,387300,0.0
007310,1.0,372500,0.0
300720,21.0,345660,0.0
009240,8.0,343600,0.0
280360,3.0,348300,0.0
499790,7.0,326550,0.0
005250,22.0,315260,0.0
002030,1.0,284000,0.0
000670,5.0,277500,0.0
008730,11.0,260700,0.0
137310,35.0,271950,0.0
071320,3.0,261900,0.0
002840,1.0,139400,0.0
003030,1.0,126000,0.0
268280,1.0,128600,0.0
014820,5.0,122000,0.0
A01630,20.55,4212750000,0.0
