티커,계약수,금액,비중
114260,8584.88,530545584,0.0
211900,17565.22,502365292,0.0
005380,53.96,29570080,0.0
005830,123.29,23499074,0.0
039490,50.51,22274910,0.0
000270,128.63,21404032,0.0
005940,632.78,20280599,0.0
003540,496.0,19790400,0.0
023590,378.35,19220180,0.0
016360,190.75,18159400,0.0
032830,79.06,16918840,0.0
175330,497.88,14562990,0.0
029780,241.57,14373415,0.0
006800,208.0,13561600,0.0
161390,224.94,13878798,0.0
120110,205.8,12636120,0.0
005440,764.86,11197550,0.0
033780,70.27,11004282,0.0
003550,113.88,11023584,0.0
047050,117.02,7723320,0.0
000810,16.63,8173645,0.0
030200,137.1,7924380,0.0
018670,34.51,8213380,0.0
001800,340.71,7819294,0.0
031430,614.59,7651645,0.0
042700,20.08,6325200,0.0
014680,21.33,6260355,0.0
001680,312.47,6514999,0.0
025540,89.73,6415695,0.0
010120,8.16,5720160,0.0
012330,12.86,5555520,0.0
028260,20.08,5883440,0.0
001040,28.55,5253200,0.0
018260,29.8,4973620,0.0
052690,30.75,4495650,0.0
271560,36.08,4477528,0.0
026890,421.65,4617067,0.0
097950,21.33,4204143,0.0
011070,15.06,3968310,0.0
007310,10.67,3974575,0.0
006260,13.49,3365755,0.0
014830,42.35,3167780,0.0
012510,25.41,3011085,0.0
185750,28.24,2400400,0.0
138040,20.71,2398218,0.0
079550,2.82,2151660,0.0
047810,11.29,2020910,0.0
090430,12.86,1674372,0.0
128940,2.82,1463580,0.0
009450,23.53,1409447,0.0
035420,5.96,1311200,0.0
003230,0.63,667800,0.0
006400,0.04,15700,0.0
03501G,0.0,725490196,0.0
03503G,0.0,529411764,0.0
03503G,0.0,19607843,0.0
03501G,0.0,392156862,0.0
03501G,0.0,39390431,0.0
