티커,계약수,금액,비중
000660,953.0,896773000,26.5
005930,3617.0,693017200,20.49
012450,68.0,93908000,3.03
402340,165.0,93390000,2.75
034020,861.0,77920500,2.54
068270,275.0,58162500,1.76
006400,118.0,46315000,1.46
035420,206.0,45320000,1.38
267260,44.0,43296000,1.28
207940,23.0,37881000,1.14
009540,91.0,37037000,1.1
010140,1307.0,35550400,1.09
009150,88.0,35332000,1.07
064350,145.0,32697500,1.02
196170,86.0,31992000,0.97
086520,174.0,27979200,0.89
329180,53.0,29627000,0.88
042700,84.0,26460000,0.84
035720,519.0,26572800,0.84
373220,70.0,26005000,0.8
047810,141.0,25239000,0.78
051910,75.0,24337500,0.74
000810,49.0,24083500,0.73
042660,181.0,22100100,0.69
272210,144.0,21715200,0.69
079550,27.0,20601000,0.68
298040,9.0,22356000,0.67
010120,31.0,21731000,0.66
247540,106.0,20712400,0.65
000250,25.0,19900000,0.57
277810,21.0,17577000,0.53
323410,670.0,16113500,0.49
138040,136.0,15748800,0.47
278470,49.0,13867000,0.45
352820,42.0,14406000,0.45
096770,116.0,14674000,0.44
003670,66.0,13728000,0.43
259960,56.0,12320000,0.38
058470,99.0,12018600,0.38
007660,109.0,12600400,0.38
180640,94.0,11392800,0.35
298380,57.0,10094700,0.33
010130,6.0,10554000,0.32
141080,51.0,9690000,0.31
005830,52.0,9911200,0.29
000100,98.0,9682400,0.29
010950,75.0,10102500,0.29
105560,58.0,8642000,0.26
003230,8.0,8480000,0.25
028050,242.0,8022300,0.24
009830,152.0,6748800,0.24
039030,17.0,7582000,0.23
006260,27.0,6736500,0.2
001440,221.0,6442150,0.2
066970,55.0,5885000,0.2
064400,97.0,6081900,0.19
240810,45.0,5976000,0.19
128940,12.0,6228000,0.19
267270,49.0,6203400,0.19
090430,47.0,6119400,0.19
028300,116.0,5869600,0.18
489790,67.0,5246100,0.17
377300,92.0,5455600,0.17
000990,61.0,5795000,0.17
326030,53.0,5649800,0.16
082740,111.0,5305800,0.16
108490,21.0,4935000,0.16
443060,30.0,5193000,0.15
052690,32.0,4678400,0.15
014680,16.0,4696000,0.15
307950,12.0,4830000,0.15
032820,277.0,4592660,0.14
403870,98.0,4405100,0.14
347850,55.0,4521000,0.14
012510,38.0,4503000,0.14
036930,67.0,4475600,0.14
353200,66.0,3913800,0.13
214450,13.0,4121000,0.13
095340,20.0,4040000,0.13
084370,28.0,4057200,0.12
237690,25.0,3720000,0.12
263750,67.0,3678300,0.12
089030,54.0,3580200,0.12
062040,26.0,3731000,0.11
103590,45.0,3645000,0.11
005290,67.0,3463900,0.11
457190,35.0,3395000,0.11
010060,24.0,3151200,0.11
035900,55.0,3388000,0.11
039200,69.0,3491400,0.11
098460,107.0,3274200,0.11
083650,37.0,2989600,0.11
067310,96.0,3360000,0.1
450080,49.0,3096800,0.1
071970,44.0,3480400,0.1
009420,62.0,3478200,0.1
022100,101.0,3262300,0.1
214370,26.0,3182400,0.1
017800,37.0,3182000,0.1
319400,101.0,3125950,0.1
058610,24.0,3045600,0.09
101490,32.0,2956800,0.09
178320,64.0,2972800,0.09
323280,38.0,2831000,0.09
290650,33.0,2732400,0.09
222800,49.0,2450000,0.08
319660,39.0,2546700,0.08
454910,30.0,2718000,0.08
257720,68.0,2635000,0.08
080220,59.0,2640250,0.08
192820,16.0,2673600,0.08
035250,149.0,2656670,0.08
068760,41.0,2574800,0.08
145020,10.0,2580000,0.08
064760,10.0,2450000,0.08
008770,61.0,2613850,0.08
099320,14.0,2556400,0.08
140860,9.0,2403000,0.08
041510,24.0,2366400,0.08
267250,9.0,2475000,0.08
078600,21.0,2024400,0.08
005070,46.0,2256300,0.07
218410,33.0,2217600,0.07
395400,411.0,2350920,0.07
214150,42.0,2305800,0.07
085660,114.0,2170560,0.07
483650,15.0,2241000,0.07
475830,19.0,2185000,0.07
439260,21.0,2167200,0.06
462870,67.0,2023400,0.06
007390,106.0,2095620,0.06
189300,16.0,1932800,0.06
112610,38.0,1767000,0.06
137400,38.0,1808800,0.06
065350,31.0,1897200,0.06
020150,43.0,1601750,0.05
032350,92.0,1774680,0.05
122870,25.0,1605000,0.05
281740,74.0,1524400,0.05
031980,14.0,1527400,0.05
161580,34.0,1553800,0.05
005690,110.0,1566400,0.05
017960,38.0,1461100,0.05
131970,23.0,1419100,0.05
008930,40.0,1534000,0.05
011790,15.0,1488000,0.05
222080,101.0,1303910,0.05
034230,89.0,1521010,0.05
361610,62.0,1407400,0.04
100090,78.0,1324440,0.04
248070,81.0,1373760,0.04
026960,54.0,1374300,0.04
232140,62.0,1277200,0.04
185750,16.0,1360000,0.04
069620,8.0,1328000,0.04
466100,22.0,1324400,0.04
086900,11.0,1327700,0.04
183300,12.0,1232400,0.04
166090,19.0,1255900,0.04
030530,40.0,1240000,0.04
121600,18.0,1116000,0.04
082920,55.0,1149500,0.04
348210,14.0,1118600,0.04
