티커,계약수,금액,비중
157450,526.67,58568337,0.0
272580,493.33,27801612,0.0
114820,122.67,12896910,0.0
8579Y1,2.71,0,0.0
028241,8.85,0,0.0
0287Y1,8.99,0,0.0
0B4BNM,3.17,0,0.0
0724F1,2.16,0,0.0
079031,8.25,0,0.0
0130H1,3.62,0,0.0
010551,2.45,0,0.0
0846U1,1.45,0,0.0
091581,1.13,0,0.0
090661,2.18,0,0.0
0971T1,0.73,0,0.0
126531,0.6,0,0.0
152711,0.79,0,0.0
162551,0.34,0,0.0
0BFRT3,0.44,0,0.0
188021,1.31,0,0.0
200021,1.34,0,0.0
2079K3,29.59,0,0.0
2079K1,23.75,0,0.0
2209S1,8.54,0,0.0
231351,49.36,0,0.0
0BV7DQ,11.73,0,0.0
236081,1.38,0,0.0
255371,2.72,0,0.0
258161,2.76,0,0.0
268747,2.82,0,0.0
3027X1,2.38,0,0.0
304201,0.99,0,0.0
3076C1,0.48,0,0.0
311001,1.17,0,0.0
311621,2.74,0,0.0
320951,6.21,0,0.0
326541,2.52,0,0.0
0BLP1H,1.1,0,0.0
3743Q1,1.82,0,0.0
3769M1,2.34,0,0.0
378331,75.48,0,0.0
382221,4.08,0,0.0
3831W1,1.38,0,0.0
0BTDN8,1.11,0,0.0
0450A1,1.89,0,0.0
394831,2.44,0,0.0
404132,5.24,0,0.0
635761,1.3,0,0.0
4621X1,0.26,0,0.0
0206R1,36.37,0,0.0
495601,0.82,0,0.0
527691,1.09,0,0.0
530151,2.06,0,0.0
533321,0.09,0,0.0
534841,0.72,0,0.0
536111,0.4,0,0.0
5464C1,0.4,0,0.0
5722G1,5.01,0,0.0
584981,1.38,0,0.0
605051,34.66,0,0.0
640581,3.59,0,0.0
718131,2.61,0,0.0
758871,1.46,0,0.0
846707,9.33,0,0.0
865161,1.0,0,0.0
9073M1,0.8,0,0.0
9062X1,0.75,0,0.0
9290D1,0.73,0,0.0
9260D1,3.75,0,0.0
522341,2.79,0,0.0
970231,3.85,0,0.0
9857L1,0.17,0,0.0
011371,7.54,0,0.0
101221,10.35,0,0.0
1135F1,23.92,0,0.0
1133T1,0.6,0,0.0
152361,1.49,0,0.0
156372,0.9,0,0.0
2008R1,0.56,0,0.0
300646,0.71,0,0.0
011211,0.75,0,0.0
2541W2,0.6,0,0.0
273871,1.39,0,0.0
331311,0.54,0,0.0
4040H1,3.25,0,0.0
4149Y1,1.21,0,0.0
436583,5.52,0,0.0
4448C1,4.07,0,0.0
491231,2.38,0,0.0
2503M1,0.53,0,0.0
2504L1,1.49,0,0.0
2514G1,0.67,0,0.0
3073E1,0.99,0,0.0
5135B1,2.37,0,0.0
5189T1,3.32,0,0.0
252691,0.82,0,0.0
598641,0.25,0,0.0
6119P1,0.47,0,0.0
667641,9.79,0,0.0
696561,6.82,0,0.0
044328,1.89,0,0.0
713401,1.24,0,0.0
720621,0.79,0,0.0
729081,1.74,0,0.0
7275R1,20.14,0,0.0
729674,9.36,0,0.0
746101,2.19,0,0.0
890541,0.62,0,0.0
2572Q1,1.83,0,0.0
258961,1.52,0,0.0
912161,19.7,0,0.0
924461,2.48,0,0.0
9260Q1,1.15,0,0.0
941621,4.11,0,0.0
0030N1,18.73,0,0.0
058871,2.44,0,0.0
0825C1,6.35,0,0.0
091151,1.83,0,0.0
1036P1,0.73,0,0.0
1037T1,1.59,0,0.0
166485,1.01,0,0.0
172041,4.53,0,0.0
193501,3.97,0,0.0
199481,0.36,0,0.0
2052L1,3.45,0,0.0
2160N1,2.15,0,0.0
2160K1,2.26,0,0.0
270971,3.88,0,0.0
2788C1,1.27,0,0.0
2822V1,2.21,0,0.0
264081,9.48,0,0.0
310211,0.7,0,0.0
266501,6.45,0,0.0
358511,3.24,0,0.0
371941,0.6,0,0.0
3804L1,1.64,0,0.0
3918K1,0.18,0,0.0
435371,0.75,0,0.0
441991,1.28,0,0.0
4703L2,1.54,0,0.0
473617,3.3,0,0.0
5179M1,3.23,0,0.0
521311,1.99,0,0.0
5278X1,0.96,0,0.0
538681,1.63,0,0.0
566771,1.12,0,0.0
567461,0.99,0,0.0
5746U1,4.34,0,0.0
5754A2,0.16,0,0.0
5809K1,1.88,0,0.0
600031,0.7,0,0.0
605571,3.61,0,0.0
3331A1,1.41,0,0.0
333311,1.06,0,0.0
6441C2,3.95,0,0.0
6614N1,2.13,0,0.0
0B8KQN,1.98,0,0.0
786421,2.32,0,0.0
788651,1.3,0,0.0
810201,1.96,0,0.0
8176E1,2.99,0,0.0
855121,1.15,0,0.0
367521,1.15,0,0.0
324571,4.04,0,0.0
9084Q1,0.23,0,0.0
910111,2.86,0,0.0
9364G1,2.27,0,0.0
6875P1,2.78,0,0.0
9414B1,0.28,0,0.0
6884L1,3.17,0,0.0
944291,0.63,0,0.0
9444U7,0.5,0,0.0
9476L1,1.77,0,0.0
9530P1,0.13,0,0.0
971781,0.33,0,0.0
184391,1.25,0,0.0
3223R1,0.21,0,0.0
0034W1,1.17,0,0.0
0040W1,1.89,0,0.0
0161N1,5.14,0,0.0
651677,1.21,0,0.0
0212P3,0.6,0,0.0
021301,0.69,0,0.0
0225T1,1.08,0,0.0
0231G1,21.68,0,0.0
156161,0.29,0,0.0
030751,0.19,0,0.0
032501,0.12,0,0.0
119001,5.84,0,0.0
137451,0.4,0,0.0
1428X1,1.1,0,0.0
1620M1,2.66,0,0.0
167731,3.37,0,0.0
364331,0.55,0,0.0
379321,2.64,0,0.0
377381,2.77,0,0.0
453708,19.88,0,0.0
4959E1,3.31,0,0.0
4959J1,1.72,0,0.0
5137L1,1.07,0,0.0
5137L2,0.75,0,0.0
546131,1.56,0,0.0
5671D8,7.3,0,0.0
114405,0.83,0,0.0
666511,0.39,0,0.0
6266G1,2.32,0,0.0
6828A1,1.39,0,0.0
687711,2.85,0,0.0
687361,0.3,0,0.0
695501,1.28,0,0.0
696043,5.39,0,0.0
703341,2.72,0,0.0
7045V1,4.84,0,0.0
724601,0.71,0,0.0
755581,6.31,0,0.0
7940X1,1.23,0,0.0
7959E1,0.41,0,0.0
802371,0.7,0,0.0
8141G1,1.54,0,0.0
062161,4.34,0,0.0
165151,1.43,0,0.0
180561,0.68,0,0.0
0412C1,0.83,0,0.0
2250P1,3.53,0,0.0
064071,0.52,0,0.0
278661,0.75,0,0.0
2824C1,6.67,0,0.0
3300A2,1.2,0,0.0
364401,1.13,0,0.0
370761,5.06,0,0.0
385161,3.23,0,0.0
404521,1.48,0,0.0
4107P1,3.25,0,0.0
432011,2.05,0,0.0
0434L1,4.78,0,0.0
435106,0.27,0,0.0
448591,0.61,0,0.0
456581,0.39,0,0.0
461501,8.0,0,0.0
464131,0.2,0,0.0
5167R1,0.38,0,0.0
5168D1,0.41,0,0.0
523081,1.35,0,0.0
5337C1,0.83,0,0.0
5687V1,1.84,0,0.0
5784P1,0.36,0,0.0
581401,22.26,0,0.0
5841N1,2.27,0,0.0
5866F1,2.91,0,0.0
601461,2.69,0,0.0
592001,4.74,0,0.0
595061,1.3,0,0.0
612021,1.42,0,0.0
6120E6,1.82,0,0.0
491BT1,2.27,0,0.0
6187W1,2.87,0,0.0
6266C1,0.86,0,0.0
6284V1,1.5,0,0.0
663131,0.55,0,0.0
262811,0.37,0,0.0
6982L1,0.61,0,0.0
326964,0.54,0,0.0
781601,12.25,0,0.0
0BY7QL,3.33,0,0.0
6625H1,13.99,0,0.0
9177J1,9.76,0,0.0
9271V1,6.91,0,0.0
932671,4.74,0,0.0
9338L1,0.88,0,0.0
943681,1.69,0,0.0
9446R1,3.44,0,0.0
9456B1,9.95,0,0.0
8251W1,3.49,0,0.0
824801,0.67,0,0.0
007541,4.33,0,0.0
010441,3.09,0,0.0
024311,0.95,0,0.0
049221,0.42,0,0.0
128073,6.44,0,0.0
132721,0.71,0,0.0
178341,1.57,0,0.0
253271,0.65,0,0.0
260571,1.12,0,0.0
261071,0.16,0,0.0
00S9YS,2.39,0,0.0
380341,0.8,0,0.0
018892,1.31,0,0.0
398301,1.05,0,0.0
404241,0.87,0,0.0
486611,2.85,0,0.0
500211,0.55,0,0.0
009434,1.31,0,0.0
5261F1,0.79,0,0.0
6585A1,1.55,0,0.0
719032,1.15,0,0.0
717481,2.5,0,0.0
732841,0.31,0,0.0
745991,1.07,0,0.0
7636Q1,4.2,0,0.0
7667L1,1.22,0,0.0
797802,1.29,0,0.0
801351,3.63,0,0.0
8155Q1,0.63,0,0.0
0BTN1Y,6.52,0,0.0
8933Y1,12.7,0,0.0
0303M1,11.03,0,0.0
9156R1,2.84,0,0.0
926881,0.11,0,0.0
529531,1.04,0,0.0
950171,2.75,0,0.0
951121,5.69,0,0.0
949181,37.81,0,0.0
9522J1,0.6,0,0.0
0770K1,1.76,0,0.0
081901,0.27,0,0.0
0855R1,0.28,0,0.0
0871R2,0.86,0,0.0
092071,6.58,0,0.0
098391,0.24,0,0.0
1174X1,3.63,0,0.0
153691,0.78,0,0.0
174464,6.17,0,0.0
1945C1,1.61,0,0.0
200763,0.85,0,0.0
5354G1,0.39,0,0.0
311031,2.31,0,0.0
4110D1,1.02,0,0.0
4110L1,21.61,0,0.0
516391,5.59,0,0.0
5249B1,1.91,0,0.0
5249B2,0.63,0,0.0
5339F1,10.47,0,0.0
541061,6.04,0,0.0
5473P1,2.39,0,0.0
556631,0.27,0,0.0
558441,1.14,0,0.0
658591,0.97,0,0.0
668071,0.68,0,0.0
667211,2.3,0,0.0
293775,0.98,0,0.0
703461,1.17,0,0.0
7066G1,124.11,0,0.0
2944T1,0.01,0,0.0
009538,1.28,0,0.0
745991,3.65,0,0.0
795801,0.94,0,0.0
819191,1.63,0,0.0
821891,2.08,0,0.0
826801,3.2,0,0.0
8389X1,8.43,0,0.0
7103H1,4.32,0,0.0
8902V1,2.0,0,0.0
9331C1,11.18,0,0.0
937181,2.67,0,0.0
951561,0.45,0,0.0
9608A1,11.57,0,0.0
974351,3.4,0,0.0
9932A2,1.57,0,0.0
010941,0.65,0,0.0
043261,1.65,0,0.0
0432V1,0.25,0,0.0
0450Y1,4.86,0,0.0
0BLS09,0.83,0,0.0
134481,6.96,0,0.0
170811,28.92,0,0.0
181721,7.92,0,0.0
185461,2.06,0,0.0
234841,0.61,0,0.0
934751,2.0,0,0.0
3278L1,0.17,0,0.0
935061,1.15,0,0.0
9351T1,3.76,0,0.0
4251V1,1.03,0,0.0
427181,11.91,0,0.0
433151,2.98,0,0.0
4340W1,4.72,0,0.0
443201,1.79,0,0.0
9370C1,0.61,0,0.0
445731,2.54,0,0.0
4460D1,0.8,0,0.0
458671,1.0,0,0.0
4743L1,1.07,0,0.0
475251,5.49,0,0.0
4762E1,0.76,0,0.0
4834L1,0.57,0,0.0
512121,0.2,0,0.0
547301,0.9,0,0.0
561091,4.65,0,0.0
588491,0.83,0,0.0
5886F1,0.52,0,0.0
591EP1,4.54,0,0.0
607591,1.03,0,0.0
611521,0.74,0,0.0
140461,0.59,0,0.0
707001,3.94,0,0.0
739031,0.57,0,0.0
757111,1.49,0,0.0
766961,0.55,0,0.0
782961,1.66,0,0.0
008862,1.28,0,0.0
5513E1,6.81,0,0.0
8409V1,1.59,0,0.0
9466L3,4.86,0,0.0
0004C2,0.08,0,0.0
8410G1,0.55,0,0.0
085131,8.68,0,0.0
0BKVD2,1.08,0,0.0
168511,3.32,0,0.0
1762P1,5.2,0,0.0
243481,1.18,0,0.0
288061,1.66,0,0.0
3088M1,0.75,0,0.0
068571,7.59,0,0.0
318652,0.58,0,0.0
0028FX,2.66,0,0.0
330341,0.27,0,0.0
3443Q1,0.81,0,0.0
3444M1,0.75,0,0.0
425871,5.6,0,0.0
447411,2.67,0,0.0
8462F1,22.98,0,0.0
545021,0.79,0,0.0
552441,5.78,0,0.0
574771,1.44,0,0.0
581191,0.7,0,0.0
0BFY8C,0.5,0,0.0
636671,1.75,0,0.0
6800U3,2.55,0,0.0
7165B1,1.89,0,0.0
716071,0.94,0,0.0
718291,2.43,0,0.0
4144T1,1.12,0,0.0
725901,2.46,0,0.0
740541,0.88,0,0.0
760301,1.06,0,0.0
7612G1,1.09,0,0.0
7612E1,2.31,0,0.0
00IVNQ,1.5,0,0.0
793601,0.24,0,0.0
807701,0.81,0,0.0
8160R1,14.27,0,0.0
825081,4.62,0,0.0
8262P1,0.1,0,0.0
832031,0.91,0,0.0
344291,1.0,0,0.0
255231,1.36,0,0.0
835561,1.92,0,0.0
725401,5.67,0,0.0
7256C1,0.35,0,0.0
923561,2.7,0,0.0
8339J1,2.27,0,0.0
0BK9ZQ,1.13,0,0.0
936411,0.29,0,0.0
9417E1,1.15,0,0.0
962391,1.21,0,0.0
9832Q1,6.56,0,0.0
022521,0.22,0,0.0
024941,1.45,0,0.0
0353T1,10.61,0,0.0
026531,1.53,0,0.0
0384S3,0.23,0,0.0
078181,3.02,0,0.0
100471,1.65,0,0.0
113121,3.74,0,0.0
113631,0.33,0,0.0
1324P1,4.61,0,0.0
139031,0.29,0,0.0
029733,7.91,0,0.0
1913Y1,1.58,0,0.0
