티커,계약수,금액,비중
006400,774.0,303795000,18.35
373220,713.0,264879500,15.55
005490,599.0,207553500,12.23
086520,1083.0,174146400,10.64
247540,864.0,168825600,10.11
051910,529.0,171660500,9.98
003670,442.0,91936000,5.5
096770,598.0,75647000,4.31
066970,381.0,40767000,2.61
348370,477.0,28524600,1.76
450080,426.0,26923200,1.74
121600,300.0,18600000,1.19
011790,173.0,17161600,1.04
005070,298.0,14616900,0.91
078600,110.0,10604000,0.75
020150,233.0,8679250,0.55
222080,629.0,8120390,0.55
137400,186.0,8853600,0.55
361610,337.0,7649900,0.46
005420,291.0,4138020,0.26
093370,523.0,3692380,0.22
107640,53.0,2390300,0.16
336370,316.0,2512200,0.15
036830,39.0,2004600,0.12
299030,56.0,1517600,0.09
010010,0.0,0,0.21
