티커,계약수,금액,비중
322000,1396.0,125779600,8.14
083650,1484.0,119907200,7.0
126340,993.0,120153000,6.65
010060,804.0,105565200,6.06
009830,2333.0,103585200,6.02
062040,723.0,103750500,5.28
006400,250.0,98125000,5.11
298040,38.0,94392000,4.69
010120,127.0,89027000,4.45
112610,1716.0,79794000,4.44
267260,78.0,76752000,3.76
103590,818.0,66258000,3.34
373220,171.0,63526500,3.21
100840,1554.0,62393100,3.18
247540,315.0,61551000,3.18
100090,3204.0,54403920,2.96
003670,275.0,57200000,2.95
034020,563.0,50951500,2.75
107640,468.0,21106800,1.2
001430,366.0,22326000,1.13
044490,588.0,20315400,1.1
171090,148.0,17982000,0.94
059090,1231.0,17270930,0.92
006340,3149.0,17099070,0.87
450080,224.0,14156800,0.79
178320,321.0,14910450,0.75
089890,568.0,14768000,0.73
066970,114.0,12198000,0.67
475150,458.0,10969100,0.62
119850,316.0,11265400,0.58
098070,325.0,10741250,0.55
001440,360.0,10494000,0.54
357580,629.0,9466450,0.5
336260,228.0,8675400,0.46
187790,1721.0,7761710,0.42
018000,3881.0,4296267,0.23
101970,373.0,4326800,0.22
006260,18.0,4491000,0.22
297090,619.0,3856370,0.21
047040,477.0,4073580,0.21
163280,218.0,3049820,0.15
005380,5.0,2740000,0.14
096770,21.0,2656500,0.13
213420,60.0,2244000,0.12
005490,6.0,2079000,0.11
010950,16.0,2155200,0.1
014680,6.0,1761000,0.09
012330,4.0,1728000,0.09
010130,1.0,1759000,0.09
000270,10.0,1664000,0.08
229640,34.0,1421200,0.07
199820,149.0,1391660,0.07
028050,36.0,1193400,0.06
066570,10.0,1154000,0.06
051910,3.0,973500,0.05
000720,6.0,864000,0.05
052690,6.0,877200,0.05
075580,57.0,937080,0.05
003030,7.0,882000,0.05
051600,15.0,819000,0.04
306200,6.0,741000,0.04
018880,156.0,617760,0.03
005010,145.0,613350,0.03
015760,13.0,626600,0.03
005070,11.0,539550,0.03
092790,37.0,397750,0.02
010010,0.0,0,1.15
