티커,계약수,금액,비중
009830,4359.0,193539600,10.21
005930,1119.0,214400400,9.52
000660,213.0,200433000,8.9
000880,1465.0,187080500,8.78
005380,301.0,164948000,7.52
006400,390.0,153075000,7.24
051910,329.0,106760500,4.86
005290,1904.0,98436800,4.73
000270,589.0,98009600,4.45
022100,2492.0,80491600,3.79
348370,1073.0,64165400,3.1
112610,1268.0,58962000,2.98
012330,143.0,61776000,2.87
005490,179.0,62023500,2.86
028260,221.0,64753000,2.83
100090,2640.0,44827200,2.22
009540,121.0,49247000,2.2
009150,117.0,46975500,2.14
010140,1663.0,45233600,2.07
034730,86.0,30917000,1.39
066570,256.0,29542400,1.37
010120,31.0,21731000,0.99
000150,17.0,18241000,0.81
034220,843.0,9804090,0.46
004020,249.0,8914200,0.45
011070,27.0,7114500,0.33
036930,89.0,5945200,0.27
120110,41.0,2517400,0.12
213420,38.0,1421200,0.07
010010,0.0,0,0.49
