티커,계약수,금액,비중
005930,4080.0,781728000,31.88
000660,478.0,449798000,18.34
005380,117.0,64116000,2.69
402340,82.0,46412000,1.88
012450,29.0,40049000,1.78
105560,283.0,42167000,1.73
034020,379.0,34299500,1.54
000270,213.0,35443200,1.48
055550,361.0,33536900,1.38
068270,136.0,28764000,1.2
035420,115.0,25300000,1.06
086790,224.0,24908800,1.03
028260,85.0,24905000,1.0
012330,54.0,23328000,1.0
006400,52.0,20410000,0.89
005490,60.0,20790000,0.88
316140,605.0,20418750,0.83
009150,47.0,18870500,0.79
267260,19.0,18696000,0.76
009540,43.0,17501000,0.72
010140,576.0,15667200,0.66
006800,232.0,15126400,0.65
329180,28.0,15652000,0.64
035720,289.0,14796800,0.64
064350,66.0,14883000,0.64
032830,73.0,15622000,0.64
207940,9.0,14823000,0.61
042660,114.0,13919400,0.6
373220,38.0,14117000,0.6
000810,27.0,13270500,0.56
015760,274.0,13206800,0.56
051910,40.0,12980000,0.54
033780,80.0,12528000,0.51
034730,33.0,11863500,0.49
042700,35.0,11025000,0.48
030200,192.0,11097600,0.47
047810,61.0,10919000,0.46
267250,40.0,11000000,0.46
066570,94.0,10847600,0.46
079550,13.0,9919000,0.45
017670,138.0,10750200,0.44
010130,6.0,10554000,0.44
298040,4.0,9936000,0.41
000720,62.0,8928000,0.4
010120,13.0,9113000,0.38
272210,57.0,8595600,0.38
138040,73.0,8453400,0.35
071050,35.0,8067500,0.33
096770,64.0,8096000,0.33
005830,40.0,7624000,0.31
003550,80.0,7744000,0.31
323410,308.0,7407400,0.31
086280,30.0,7395000,0.3
278470,23.0,6509000,0.29
352820,18.0,6174000,0.26
000150,6.0,6438000,0.26
003670,28.0,5824000,0.25
259960,26.0,5720000,0.24
039490,13.0,5733000,0.24
024110,234.0,5569200,0.23
011200,261.0,5546250,0.23
003490,215.0,5267500,0.22
000100,53.0,5236400,0.22
016360,54.0,5140800,0.22
009830,99.0,4395600,0.21
018260,30.0,5007000,0.2
007660,42.0,4855200,0.2
180640,38.0,4605600,0.2
005940,145.0,4647250,0.19
138930,247.0,4643600,0.19
175330,152.0,4446000,0.19
010950,34.0,4579800,0.18
028050,128.0,4243200,0.18
000880,27.0,3447900,0.15
021240,47.0,3501500,0.15
161390,59.0,3640300,0.15
006260,14.0,3493000,0.14
090430,26.0,3385200,0.14
032640,224.0,3362240,0.14
034220,276.0,3209880,0.14
003230,3.0,3180000,0.13
078930,46.0,3063600,0.13
011070,11.0,2898500,0.12
047050,39.0,2574000,0.12
036570,13.0,2658500,0.12
004020,69.0,2470200,0.11
066970,23.0,2461000,0.11
0126Z0,5.0,2805000,0.11
001440,88.0,2565200,0.11
052690,17.0,2485400,0.11
139130,153.0,2639250,0.11
128940,5.0,2595000,0.11
014680,8.0,2348000,0.1
241560,40.0,2288000,0.1
326030,23.0,2451800,0.1
001040,12.0,2208000,0.09
271560,17.0,2109700,0.09
010060,14.0,1838200,0.09
017800,24.0,2064000,0.09
377300,33.0,1956900,0.08
029780,34.0,2023000,0.08
004170,6.0,2025000,0.08
139480,21.0,1919400,0.08
009420,35.0,1963500,0.08
457190,18.0,1746000,0.08
082740,39.0,1864200,0.08
001450,60.0,1842000,0.08
111770,19.0,1761300,0.08
011790,17.0,1686400,0.07
051900,7.0,1648500,0.07
204320,32.0,1724800,0.07
035250,95.0,1693850,0.07
103140,14.0,1657600,0.07
443060,10.0,1731000,0.07
064400,26.0,1630200,0.07
307950,4.0,1610000,0.07
450080,23.0,1453600,0.07
251270,30.0,1455000,0.07
002380,3.0,1617000,0.07
012750,19.0,1580800,0.07
023530,16.0,1536000,0.06
454910,17.0,1540200,0.06
088350,304.0,1422720,0.06
011780,12.0,1464000,0.06
047040,164.0,1400560,0.06
008770,33.0,1414050,0.06
120110,22.0,1350800,0.06
081660,28.0,1346800,0.06
112610,26.0,1209000,0.06
030000,66.0,1346400,0.06
000120,11.0,1256200,0.05
011170,17.0,1241000,0.05
001430,20.0,1220000,0.05
036460,33.0,1224300,0.05
018880,294.0,1164240,0.05
051600,22.0,1201200,0.05
375500,26.0,1159600,0.05
011210,13.0,1183000,0.05
192820,7.0,1169700,0.05
022100,35.0,1130500,0.05
097950,6.0,1182600,0.05
062040,8.0,1148000,0.05
009970,5.0,1135000,0.05
006360,57.0,1114350,0.05
285130,19.0,1128600,0.05
302440,25.0,1106250,0.05
073240,179.0,1081160,0.04
006280,7.0,1047200,0.04
069620,6.0,996000,0.04
017960,24.0,922800,0.04
028670,191.0,1081060,0.04
298020,3.0,1006500,0.04
300720,57.0,938220,0.04
008930,24.0,920400,0.04
383220,15.0,952500,0.04
161890,13.0,899600,0.04
069960,10.0,915000,0.04
006650,7.0,933800,0.04
000210,19.0,803700,0.03
004990,25.0,785000,0.03
004370,2.0,794000,0.03
009240,18.0,773100,0.03
005850,11.0,726000,0.03
004490,12.0,746400,0.03
