티커,계약수,금액,비중
E00601,0.0,7142857,0.0
81003G,0.0,14285714,0.0
E01101,0.0,3571429,0.0
008272,0.0,7158464,0.0
008275,0.0,7142857,0.0
032717,0.0,7282692,0.0
023782,0.0,7142857,0.0
019455,0.0,7142857,0.0
097246,0.0,7142857,0.0
033663,0.0,7142857,0.0
174145,0.0,7203656,0.0
140177,0.0,7163142,0.0
021964,0.0,7230806,0.0
021968,0.0,7179364,0.0
004948,0.0,28571429,0.0
205496,0.0,7308778,0.0
019808,0.0,7144271,0.0
065901,0.0,7143614,0.0
