# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[OK] 448300	TIGER 미국나스닥100(H)
[OK] 481190	SOL 미국테크TOP10
[OK] 0064K0	KODEX 금액티브
[OK] 0051G0	SOL 미국원자력SMR
[OK] 472160	TIGER 미국테크TOP10 INDXX(H)
[OK] 244580	KODEX 바이오
[OK] 364970	TIGER 바이오TOP10
[OK] 213610	KODEX 삼성그룹밸류
[OK] 394670	TIGER 글로벌리튬&2차전지SOLACTIVE(합성)
[OK] 485540	KODEX 미국AI테크TOP10
[OK] 473460	KODEX 미국서학개미
[OK] 283580	KODEX 차이나CSI300
[OK] 486450	SOL 미국AI전력인프라
[OK] 160580	TIGER 구리실물
[OK] 0026S0	1Q 미국S&P500
[OK] 493810	TIGER 미국AI빅테크10타겟데일리커버드콜
[OK] 385720	TIME 코스피액티브
[OK] 0153K0	KODEX 주주환원고배당주
[OK] 433330	SOL 미국S&P500
[OK] 0047A0	TIGER 차이나테크TOP10
[OK] 0000J0	PLUS 한화그룹주
[OK] 0048K0	KODEX 차이나휴머노이드로봇
[OK] 498270	KIWOOM 미국양자컴퓨팅
[OK] 354500	ACE 코스닥150
[OK] 0089D0	KODEX 금융고배당TOP10
[OK] 451060	1Q 200액티브
[OK] 433500	ACE 원자력TOP10
[OK] 461950	KODEX 2차전지핵심소재10
[OK] 396520	TIGER 차이나반도체FACTSET
[OK] 310960	TIGER 200TR
[OK] 200250	KIWOOM 인도Nifty50(합성)
[OK] 466930	SOL 자동차TOP3플러스
[OK] 0098F0	KODEX 원자력SMR
[OK] 290130	RISE ESG사회책임투자
[OK] 452360	SOL 미국배당다우존스(H)
[OK] 422420	RISE 2차전지액티브
[OK] 0123G0	TIGER 미국AI전력SMR
[OK] 266160	RISE 고배당
[OK] 490090	TIGER 미국AI빅테크10
[OK] 143860	TIGER 헬스케어
[OK] 426020	TIME 미국S&P500액티브
[OK] 414780	TIGER 차이나과창판STAR50(합성)
[OK] 483320	ACE 엔비디아밸류체인액티브
[OK] 471040	KoAct 글로벌AI&로봇액티브
[OK] 489030	PLUS 고배당주위클리커버드콜
[OK] 388420	RISE 비메모리반도체액티브
[OK] 0008S0	TIGER 미국배당다우존스타겟데일리커버드콜
[OK] 0043Y0	TIME 차이나AI테크액티브
[OK] 495230	KoAct 코리아밸류업액티브
[OK] 463290	1Q 단기금융채액티브
[OK] 332930	HANARO 200TR
[OK] 483340	ACE 구글밸류체인액티브
[OK] 480020	ACE 미국빅테크7+데일리타겟커버드콜(합성)
[OK] 385510	KODEX 신재생에너지액티브
[OK] 182480	TIGER 미국MSCI리츠(합성 H)
[OK] 471760	TIGER AI반도체핵심공정
[OK] 192090	TIGER 차이나CSI300
