ticker,market_type,corp_name,corp_code
A008700,KOSPI,아남전자(주),1201110018300
A206650,KOSDAQ,(주)유바이오로직스,1101114294122
A122990,KOSDAQ,(주)와이솔,1358110154111
A100840,KOSPI,SNT에너지(주),1942110090598
A294090,KOSDAQ,이오플로우(주),1101114694679
A088350,KOSPI,한화생명보험(주),1101110003204
A207760,KOSDAQ,미스터블루(주),1101115535038
A286940,KOSPI,롯데이노베이트(주),1101116557114
A027970,KOSPI,한국제지(주),1741110000618
A001740,KOSPI,SK네트웍스(주),1301110005199
A0015N0,KOSDAQ,주식회사 아로마티카,1101112154667
A004830,KOSPI,(주)덕성,1341110000096
A253840,KOSDAQ,(주)수젠텍,1601110312126
A046120,KOSDAQ,(주)오르비텍,1101110753734
A145270,KOSPI,(주)케이탑자기관리부동산투자회사,1101114465004
A092230,KOSPI,KPX홀딩스(주),1101113520627
A019680,KOSPI,(주)대교,1101110514029
A004690,KOSPI,삼천리(주),1101110005929
A097950,KOSPI,CJ제일제당(주),1101113748253
A041510,KOSDAQ,(주)에스엠엔터테인먼트,1101111128340
A002790,KOSPI,(주)아모레퍼시픽홀딩스,1101110026644
A039440,KOSDAQ,(주)에스티아이,1346110009460
A084680,KOSPI,(주)이월드,1701110290867
A083310,KOSDAQ,(주)엘오티베큠,1615110049069
A323410,KOSPI,주식회사 카카오뱅크,1311110435767
A025560,KOSPI,미래산업(주),1243110030413
A001340,KOSPI,피케이씨(주),1101110003709
A095660,KOSDAQ,(주)네오위즈,1101116388957
A102260,KOSPI,(주)동성케미컬,1801110633031
A008870,KOSPI,(주)금비,1201110002022
A058430,KOSPI,포스코스틸리온(주),1746110006492
A155660,KOSPI,DSR(주),1801110000777
A230240,KOSDAQ,(주)에치에프알,1101115855973
A003060,KOSPI,(주)에이프로젠바이오로직스,1101110036396
A340570,KOSDAQ,(주)티앤엘,1345110028404
A008260,KOSPI,(주)NI스틸,1101110137491
A281740,KOSDAQ,(주)레이크머티리얼즈,1101116525723
A047040,KOSPI,(주)대우건설,1101112137895
A179290,KOSDAQ,(주)엠아이텍,1101110742406
A068760,KOSDAQ,(주)셀트리온제약,1101112112764
A319660,KOSDAQ,피에스케이 주식회사,1348110493354
A134380,KOSPI,미원화학(주),2301110172244
A227840,KOSPI,현대코퍼레이션홀딩스(주),1101115851559
A016800,KOSPI,(주)퍼시스,1101110345630
A000220,KOSPI,(주)유유제약,1341110002307
A441270,KOSDAQ,(주)파인엠텍,1341110618279
