crno,sic_name,enp_rpr_fnm,address,homepage,enp_main_biz_name,corp_name
1101110008212,,이동수,서울특별시 서대문구 신촌역로 30 -,www.korealines.co.kr,,대한해운
1801110181428,,"구본규, 김병옥(각자대표)",부산광역시 동구 중앙대로 184 16층,lsmarinesolution.co.kr,,LS마린솔루션
1901110012514,,"황성호, 박기원",경상남도 창원시 의창구 죽전로 45,www.samhyun.co.kr,,삼현
1101110275134,,박태현,"서울특별시 성동구 왕십리로 83-21 디타워동 14층(성수동1가, 아크로 서울포레스트)",www.smcultureandcontents.com,,SM C&C
1350110029881,,"조시영, 조경호, 박주황","경기도 안산시 단원구  산단로67번길 94  (목내동, (주)서원)",www.swbrass.co.kr,,서원
1101110042880,,박재석,경상남도 창원시 성산구  남면로 599,www.hisntd.com,,SNT다이내믹스
1101114017227,,강국진(단독대표),경기도 용인시 기흥구 동백중앙로16번길 16-25 201호 &nbsp,www.lnkbiomed.com,,엘앤케이바이오
1101110076300,,"신동빈, 고정욱, 노준형",서울특별시 송파구 올림픽로 300 롯데월드타워,www.lotte.co.kr,,롯데지주
1101110010001,,"이석준, 조영한","서울특별시 종로구 청계천로 35 13층(서린동, 관정빌딩)",www.sycc.co.kr,,삼영
1746110022860,,홍성만,경상북도 포항시 남구 대송면 송덕로212번길 195,www.nexteel.co.kr,,넥스틸
1942110038423,,김종서,경상남도 창원시 성산구 공단로 67 (신촌동),www.hanwha-engine.com,,한화엔진
1501110205802,,"전영선, 김영구",충청북도 청주시 흥덕구 산단로 73 &nbsp,www.simmtech.co.kr,,심텍
1701110039207,,장제상,대구광역시 달서구 달서대로 554,www.se-won.co.kr,,세원정공
1301110009274,,"구조웅, 구영일",경기도 안산시 단원구  강촌로 237,www.wiscom.co.kr,,WISCOM
1101111799513,,이장규,경기도 성남시 수정구 금토로80번길 27 ㈜텔레칩스 판교사옥,www.telechips.com,,텔레칩스
1101114129585,,성기학,서울특별시 중구  만리재로 159,-,,영원무역
1101111227077,,조창선(단독대표이사),경기도 화성시 동탄첨단산업1로 27 금강펜테리움IX타워 A동 901호,www.ctcbio.com,,씨티씨바이오
1601110069636,,"김기호, 이석준",경기도 성남시 분당구 운중로 117 포모나타워 5층,www.kael.co.kr,,젬백스
1615110030026,,"쿠마카와 테츠야, 치카자와 사토시",충청남도 천안시 동남구 병천면 가전5길 133,www.saeronauto.co.kr,,새론오토모티브
1243110022866,,이행명,경기도 화성시 팔탄면 노하길 361-12,www.myunginph.co.kr,,명인제약
1101111846174,,신유정,"서울특별시 중구 남대문로 78 7층(명동1가, 타임워크명동빌딩)",www.able-cnc.com,,에이블씨엔씨
1101112125262,,김학재,서울특별시 강남구 삼성로 511 아이콘 삼성,www.imarketkorea.com,,아이마켓코리아
1101113229097,,김정아,서울특별시 강남구 강남대로 308,www.innocean.com,,이노션
